code,entity,ric_ceil,ric_k,labsh_mean,labsh_latest,gdppc_mean,gdppc_latest,lgdppc_mean,lgdppc_latest,edi_mean
SDN,Sudan,-0.6889256312711163,0.0468546455915458,0.7247092856301202,0.634533762931824,3431.637652241517,2544.0294874340643,8.140792875850272,7.841504515365347,0.09646315789473683
IRN,Iran,-0.67854298685899,0.0431952916036727,0.4058974337750588,0.392824858427048,9145.032382032783,14741.751032822927,9.120966101773622,9.598438953316226,0.13018253968253968
QAT,Qatar,-0.6594309576644017,0.0788562483465157,0.2639010465807385,0.176718503236771,89410.15709492071,116032.10527605483,11.400989568745164,11.661622201416018,0.02012698412698413
SWZ,Eswatini,-0.6566999605510048,0.9449694734777252,0.6270017718726938,0.612078845500946,6991.019740182143,8902.923338803304,8.852381710164435,9.09413496682148,0.09012698412698412
OMN,Oman,-0.6473966337625604,0.1201783331451838,0.3269241990314588,0.30266872048378,28528.400299371784,43236.781527187406,10.258655371810836,10.67444683621664,0.04068253968253968
SAU,Saudi Arabia,-0.6182108127109165,0.3827617179758983,0.32487715780735027,0.279617875814438,48771.31996919842,58682.50179501792,10.794897713525426,10.979896865891682,0.012126582278481013
KWT,Kuwait,-0.5832816871387453,0.0368220319744822,0.23564043972227294,0.249492630362511,63259.172222833986,54399.549824728616,11.054995411456828,10.90411115752907,0.12237130801687764
GIN,Guinea,-0.5641604241246381,0.0507761015559546,0.30503144928000214,0.421574115753174,2974.57091261795,3546.727772919283,7.997855076524641,8.173780703285669,0.1307936507936508
TJK,Tajikistan,-0.5435138124088479,0.4293796522021163,0.4592365920543671,0.436326235532761,3476.6552905917783,4828.035683125342,8.153825987200102,8.482194973061143,0.11290506329113924
UZB,Uzbekistan,-0.4939248544286763,0.0552197969019219,0.4192721177549923,0.379453539848328,5763.3693349021405,9751.02045991021,8.659277536647116,9.185127221070044,0.12264912280701754
LAO,Laos,-0.4929570579005055,0.1119404797381232,0.4104064682667907,0.397631108760834,3140.5693882253568,8401.603298104774,8.052159396293039,9.036177835440267,0.06675217391304347
TUR,Turkey,-0.4125651494348228,0.0367134791245504,0.428521766453176,0.425564736127853,13150.828082369926,35709.655201819,9.484240007666594,10.48317638503415,0.17408438818565403
TCD,Chad,-0.3976109248282516,0.1096423744965587,0.4692161702550948,0.485394060611725,1922.2380762527048,2155.375028779862,7.561245450877161,7.675720014672897,0.1465
FJI,Fiji,-0.395636793094932,0.0993284561363884,0.5478723848407919,0.488626480102539,7114.104402582788,13859.35931827527,8.869834628051935,9.53671604644281,0.30792857142857144
CHN,China,-0.3791338956754755,0.0634970597050056,0.5851118076178765,0.561180591583252,5020.357954635544,21715.554047696354,8.521256515847936,9.985784059158577,0.06452320675105486
CAF,Central African Republic,-0.3786320559651416,0.0517234059250675,0.20424744486808802,0.164315789937973,1171.2404967912976,1094.8071259243955,7.065818719787632,6.99833348602769,0.17414150943396225
BDI,Burundi,-0.3748540796438027,0.6659269975821652,0.7007562707770957,0.606217503547669,851.4292406538895,988.1266344703403,6.746916397006664,6.8958108620753,0.11601818181818183
MRT,Mauritania,-0.3674284200412389,0.4192325686432889,0.4708164632320402,0.404089570045471,4190.5916849320665,5755.210091069263,8.34059721653409,8.657860826322722,0.1719016393442623
JOR,Jordan,-0.3599778304091269,0.0994683689179396,0.4814781197479793,0.493224442005157,6095.744093198922,9264.598092325057,8.7153461170232,9.133955758644728,0.1599423076923077
DJI,Djibouti,-0.3396934875730851,0.0620505177741895,0.6199532720175659,0.633568584918976,4429.40315359283,8138.845262649357,8.39602012565389,9.004403589308172,0.11547619047619048
IND,India,-0.3306196650386013,0.0685918402385334,0.6559116502065916,0.533480644226074,2769.465162570686,8924.875427239058,7.9264094984341895,9.096597648818111,0.25278902953586496
NIC,Nicaragua,-0.3245342305371239,0.5624480760461099,0.5393483178182085,0.520103871822357,5755.503698198743,7301.916612943905,8.657911840905296,8.895892142394679,0.207903743315508
RUS,Russia,-0.3242886028289766,0.2121671577695839,0.5163819991490421,0.529145956039429,21395.582395091886,39126.8216212128,9.970939749564417,10.574563485767252,0.09945991561181435
PRY,Paraguay,-0.3239497688892834,0.2541150023664469,0.46316696927972045,0.444948136806488,6778.832329806192,14938.908420787633,8.821560143359953,9.611724391813182,0.20535813953488372
AZE,Azerbaijan,-0.3188955946540978,0.0586936662812712,0.3654069330762415,0.392302095890045,10974.966885582475,20321.991565491953,9.30337222067982,9.919458907002534,0.09096713615023475
GTM,Guatemala,-0.3182927979927503,0.2674042393042771,0.4615524455502227,0.46945071220398,5285.1856873023835,12168.834626273625,8.57266303246525,9.406633423489641,0.18117596566523606
LKA,Sri Lanka,-0.315528871352593,0.039814168052311,0.4029560930825568,0.380772799253464,5820.318905095046,12713.968122052533,8.66911033391418,9.450456520182572,0.44083333333333335
SLV,El Salvador,-0.3095297998953992,0.4218091891476023,0.48424859375369783,0.521345615386963,4475.912560229146,11195.286260322326,8.40646553399282,9.323248099078635,0.23772789115646256
ZWE,Zimbabwe,-0.2908072702477656,2.0,0.5951306743281226,0.533381104469299,3560.6978875519935,3083.179027805333,8.177711840462775,8.033716495549958,0.2475079365079365
CIV,Cote d'Ivoire,-0.2856845694819384,0.0487199880317317,0.5419095130637286,0.331920176744461,3068.8895920066166,5994.430900599744,8.029071078738534,8.698586133948023,0.18582539682539684
NGA,Nigeria,-0.2832397160159348,0.4211011302677638,0.3223442358745112,0.31155726313591,3122.0170152551973,4679.836834652106,8.046234551174297,8.451018523913339,0.2504642857142857
BFA,Burkina Faso,-0.2724429686059974,0.3713492865145645,0.4839036336311927,0.425985455513001,1436.2216243118276,2357.3772890976616,7.269771072178817,7.765304961868766,0.29444565217391305
BWA,Botswana,-0.2680884205651881,0.0761011777003167,0.31920730136334935,0.277960985898972,8301.093839431953,18284.57798658116,9.024142572984797,9.813813250556743,0.3381349206349206
HND,Honduras,-0.2651235729628256,0.1984510533299396,0.5849536734598654,0.547430813312531,3656.7808324328357,6415.119590448002,8.204338485380749,8.766412919190547,0.2358658536585366
MAR,Morocco,-0.2629793667388233,0.2314951750574571,0.5152667358114912,0.464676827192307,4762.5404457583045,9034.586969229436,8.46853651194657,9.108815487452272,0.07052742616033755
NER,Niger,-0.2620187977207246,0.1583451311406761,0.48008541064336885,0.390887498855591,1610.6099766060918,1912.4048991724615,7.384368253683556,7.556116838541421,0.21769230769230768
THA,Thailand,-0.2611617624506797,0.2652039124111617,0.4394572232220626,0.437843501567841,7589.741867006875,22978.938930037733,8.934552860194323,10.042333376709111,0.11068354430379747
MOZ,Mozambique,-0.2453723250068512,1.1546465640307333,0.47148449532687653,0.539653122425079,1015.4709508809987,1527.6212497948575,6.923107774881104,7.331467065829929,0.1359126984126984
PAN,Panama,-0.2424923234589994,2.0,0.44114083756100037,0.328374564647675,11615.222746909392,36787.6990828614,9.36007182254188,10.512918804225661,0.39735772357723576
KGZ,Kyrgyzstan,-0.2285207966649152,0.2777417008912423,0.5120810182655559,0.399924725294113,4925.890427815735,9890.652329053897,8.502260334790323,9.199345380889916,0.15156
ZMB,Zambia,-0.2218836118024919,0.0607299623491829,0.42771309182263834,0.299980849027634,2309.2913413046185,3433.5399861947267,7.744695977793632,8.141347073892067,0.22690434782608696
SLE,Sierra Leone,-0.217668822870472,0.4378196779741566,0.5435487871820277,0.596124589443207,1593.9136824673199,2842.0152701012657,7.373947706357765,7.9522686816550205,0.21713492063492065
KAZ,Kazakhstan,-0.2168653074912736,0.2011390377412986,0.45527315578039956,0.373419225215912,17775.464575424066,34100.31744057975,9.785574390781315,10.437061972336188,0.08951054852320675
JPN,Japan,-0.2143684497314087,0.0772988330146695,0.557516727898572,0.587487876415253,26964.51436190908,44161.712461673225,10.202276997666965,10.695613458769607,0.32581434599156117
RWA,Rwanda,-0.2092709216837877,0.5795460794560667,0.75841261446476,0.741010069847107,1381.5592550718247,3130.939012754407,7.2309680352799255,8.049088242616865,0.12189090909090909
COL,Colombia,-0.208125949388028,0.1669631031230153,0.476315368268941,0.477649509906769,8756.117974152974,17426.65423345419,9.07750793207334,9.765756165610776,0.3031342592592593
VEN,Venezuela,-0.2068324697206681,0.1906050513873513,0.43522230787454413,0.0843637511134148,9556.782794025332,155.76973415382625,9.165006421585634,5.048378853678692,0.2295726872246696
CPV,Cape Verde,-0.2044619873357845,0.126986697541293,0.5841785127466378,0.626130104064941,3900.376285309634,9465.772855837582,8.26882831087624,9.155437714386782,0.2589920634920635
BOL,Bolivia,-0.2032604283628736,0.1512258000994892,0.5162735037706994,0.498441219329834,3647.1847064857366,9609.050502161888,8.201710835669815,9.170460693978088,0.26486567164179103
PER,Peru,-0.2027827426232763,0.4240752382207283,0.5463817268610001,0.400533765554428,6329.725112853179,14286.236826470029,8.753012088105736,9.567051893098864,0.31114070351758794
SEN,Senegal,-0.2023382605974547,0.1046813259429056,0.48991087218746526,0.523302435874939,2958.973063533759,4091.7934787208437,7.992597549125844,8.316738656277078,0.33928688524590167
NAM,Namibia,-0.2007832141421327,0.5108157486952655,0.6017472511157392,0.529053270816803,7433.603760759081,9692.203564811456,8.913766048489528,9.179077085101264,0.22465079365079366
LSO,Lesotho,-0.1971510694254993,0.3940128844123778,0.6817659382466918,0.661128878593445,2274.8679818575115,2306.292343485558,7.729677299748506,7.74339646793923,0.20049999999999998
MYS,Malaysia,-0.192327770876836,0.0278592449767511,0.3230114492817199,0.396719485521317,12542.096222229455,30373.767255518927,9.43684596307397,10.321334595638843,0.19103968253968256
STP,Sao Tome and Principe,-0.1900029842743798,0.1320693281205854,0.738317966461182,0.738317966461182,2944.427164112428,6297.770860134015,7.987669565828867,8.74795101804165,0.21688888888888888
BLR,Belarus,-0.1853019699121647,0.2073852837693001,0.5563408504514135,0.569543778896332,17007.991265999735,28562.153687382623,9.741438587058534,10.259837822832468,0.09658008658008657
BRA,Brazil,-0.1810806063919009,0.1810927158411151,0.5347926826090424,0.511414289474487,8327.669456487616,18642.69636011345,9.027338918883625,9.833209732290651,0.28539574468085105
SGP,Singapore,-0.1798312476250268,0.0525765515314276,0.4299780433066191,0.439467787742615,37398.90634071135,103436.06464919358,10.529396740748092,11.546708967953975,0.2197278481012658
MUS,Mauritius,-0.1782876778329319,0.0661194930514488,0.4894522613770251,0.456134647130966,12063.292042551488,27644.71443080494,9.397922405050288,10.22718982885089,0.43112698412698414
PHL,Philippines,-0.173980735889864,0.3031312427010016,0.43696636203173045,0.449056535959244,4446.246390302865,10096.466353354012,8.399815511410296,9.219940775607409,0.3039444444444444
