code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
AFG,Afghanistan,74,1950,2023,-0.9383255332038544,-0.674164591696745,0.2968722901632997,2002.9771604159132,10.897194284356512,0.5307043485223101
AGO,Angola,74,1950,2023,-0.8771460038520115,-0.0222544247138967,0.0364903105136633,1990.5589188213064,0.0050000000000124,0.9785589684961868
ALB,Albania,74,1950,2023,-1.2776094620664116,-0.0040058239138594,0.207303632304987,2014.8019804618175,19.99999999764417,0.9723053220794644
ARE,United Arab Emirates,53,1971,2023,-0.9371480813640712,-0.1657796899704849,0.115996050599208,2018.252149393506,1.8436083910754144,0.965756219564071
ARG,Argentina,74,1950,2023,-0.9236868481317152,-0.1203217006800176,0.1597699306694801,1995.4589642249412,12.327293275137452,0.9240432157882532
ARM,Armenia,74,1950,2023,-0.9828067923538956,-2.31017847382526e-19,0.2413301565182596,2021.7889640780568,19.99999943892025,0.9371850537770188
AUS,Australia,74,1950,2023,-0.7881822894160445,-0.0700942233126941,0.1838507359345413,1980.3785710601103,10.9557309831872,0.991195502249112
AUT,Austria,74,1950,2023,-0.9679563669851076,-0.0698335356787366,0.2429796549312463,1982.6293540177032,19.99999999999996,0.9801388743749504
AZE,Azerbaijan,74,1950,2023,-0.873542320876946,-0.3188955946540978,0.0586936662812712,1974.4961412548537,3.3810783372682485,0.9790786502609828
BDI,Burundi,74,1950,2023,-0.8338216100880403,-0.3748540796438027,0.6659269975821652,1997.53856584734,13.204436982348083,0.9790013730433524
BEL,Belgium,74,1950,2023,-0.6715709891982558,-0.0359854725958798,0.0688929558788181,1961.053485389179,1.9419773088981205,0.9763222787732032
BEN,Benin,74,1950,2023,-0.6485972698337069,-0.0705595765767725,0.0459911731569986,1972.426259640382,0.0050000000000002,0.9511565517675744
BFA,Burkina Faso,74,1950,2023,-0.857726303044614,-0.2724429686059974,0.3713492865145645,1991.9805535289152,19.99999761642192,0.8922698186814565
BGD,Bangladesh,60,1958,2023,-0.81177507517084,-0.3419751809857566,0.2346553572152456,1975.161331208613,5.189293419791224,0.9647736952905868
