code,entity,region,edi,idv,gini_mkt,labsh,beta,edi_tier,idv_tier,gini_tier,labsh_tier,beta_tier
AFG,Afghanistan,Asia,0.069,,33.3,,0.49179187,authoritarian,no_data,low_inequality,no_data,mid
AGO,Angola,Africa,0.344,,52.1,0.2849252792420212,0.56598818,hybrid,no_data,high_inequality,low_labsh,low_mobility
ALB,Albania,Europe,0.484,,50.8,0.8200110362635714,0.44250646,hybrid,no_data,high_inequality,high_labsh,mid
ARE,United Arab Emirates,Asia,0.104,,31.3,,,authoritarian,no_data,low_inequality,no_data,no_data
ARG,Argentina,South America,0.69,46.0,40.0,0.4606321160052273,0.39646333,democratic,mid,low_inequality,low_labsh,mid
ARM,Armenia,Asia,0.614,,45.2,0.6270922702901505,0.29129103,hybrid,no_data,mid,high_labsh,high_mobility
AUS,Australia,Oceania,0.844,90.0,48.1,0.6332933185873805,0.27254662,democratic,individualist,high_inequality,high_labsh,high_mobility
AUT,Austria,Europe,0.839,55.0,49.4,0.6115665073330337,0.33349392,democratic,mid,high_inequality,high_labsh,high_mobility
AZE,Azerbaijan,Asia,0.171,,39.4,0.3654069330762415,0.10012827,authoritarian,no_data,low_inequality,low_labsh,high_mobility
BDI,Burundi,Africa,0.185,,40.1,0.7007562707770957,0.57862121,authoritarian,no_data,low_inequality,high_labsh,low_mobility
BEL,Belgium,Europe,0.889,75.0,48.1,0.6437478669591852,0.38026047,democratic,individualist,high_inequality,high_labsh,mid
BEN,Benin,Africa,0.493,,44.8,0.6274457912553437,0.71151412,hybrid,no_data,mid,high_labsh,low_mobility
BFA,Burkina Faso,Africa,0.134,,42.7,0.4839036336311927,1.0438519,authoritarian,no_data,mid,mid,low_mobility
BGD,Bangladesh,Asia,0.195,20.0,36.3,,0.55381626,authoritarian,collectivist,low_inequality,no_data,low_mobility
BGR,Bulgaria,Europe,0.599,30.0,49.6,0.4572954100591166,0.56700987,hybrid,mid,high_inequality,low_labsh,low_mobility
BHR,Bahrain,Asia,0.139,,50.2,0.3154992555026656,,authoritarian,no_data,high_inequality,low_labsh,no_data
BIH,Bosnia and Herzegovina,Europe,0.498,,49.6,0.654809371513479,0.42055288,hybrid,no_data,high_inequality,high_labsh,mid
