iso3,country,idv,edi,S_ceil
ARG,Argentina,46,0.69,-0.1203217006800176
AUS,Australia,90,0.844,-0.0700942233126941
AUT,Austria,55,0.839,-0.0698335356787366
BGD,Bangladesh,20,0.195,-0.3419751809857566
BEL,Belgium,75,0.889,-0.0359854725958798
BRA,Brazil,38,0.784,-0.1810806063919009
BGR,Bulgaria,30,0.599,-3.790797693194563e-20
CAN,Canada,80,0.84,-0.103747952299803
CHL,Chile,23,0.839,-0.1427148202277776
CHN,China,20,0.072,-0.3791338956754755
COL,Colombia,13,0.679,-0.208125949388028
CRI,Costa Rica,15,0.862,-0.0095834968330869
HRV,Croatia,33,0.686,-4.645111267193541e-44
CZE,Czech Rep,58,0.849,-0.0571333470967215
DNK,Denmark,74,0.913,-0.0390031700901587
ECU,Ecuador,8,0.607,-0.1348922278066535
SLV,El Salvador,19,0.321,-0.3095297998953992
EST,Estonia,60,0.887,-0.0086920524081843
FIN,Finland,63,0.852,-0.0518999386601357
FRA,France,71,0.865,-0.1039678105544212
DEU,Germany,67,0.828,-0.0365671844651417
GBR,Great Britain,89,0.772,-0.0868988013054849
GRC,Greece,35,0.741,-0.0778069835993707
GTM,Guatemala,6,0.637,-0.3182927979927503
HKG,Hong Kong,25,0.151,-0.1135280357063698
HUN,Hungary,80,0.421,-0.1243104779424337
IND,India,48,0.377,-0.3306196650386013
IDN,Indonesia,14,0.462,-3.689099031453921e-32
IRN,Iran,41,0.159,-0.67854298685899
IRL,Ireland,70,0.887,-0.0804872377148576
ISR,Israel,54,0.694,-0.1332004982935091
ITA,Italy,76,0.745,-0.0767452129777491
JAM,Jamaica,39,0.805,-0.1074349227587507
JPN,Japan,46,0.819,-0.2143684497314087
KOR,Korea South,18,0.819,-4.845525162875901e-20
LVA,Latvia,70,0.834,-0.0251003699725923
LTU,Lithuania,60,0.786,-0.0506566485972741
LUX,Luxembourg,60,0.869,-0.1687335785929685
MYS,Malaysia,26,0.504,-0.192327770876836
MLT,Malta,59,0.783,-0.049240151588436
MEX,Mexico,30,0.469,-0.1411667775074645
MAR,Morocco,46,0.259,-0.2629793667388233
NLD,Netherlands,80,0.832,-0.0878194128281194
NZL,New Zealand,79,0.849,-0.0639655097329672
NOR,Norway,69,0.89,-0.0536358153944889
PAK,Pakistan,14,0.302,-0.4192490082852739
PAN,Panama,11,0.728,-0.2424923234589994
PER,Peru,16,0.667,-0.2027827426232763
PHL,Philippines,32,0.392,-0.173980735889864
POL,Poland,60,0.768,-2.9687221144885704e-24
PRT,Portugal,27,0.822,-0.1140061905874952
ROU,Romania,30,0.605,-1.5213889045665654e-19
RUS,Russia,39,0.17,-0.3242886028289766
SRB,Serbia,25,0.3,-0.0208149138113511
SGP,Singapore,20,0.434,-0.1798312476250268
SVK,Slovak Rep,52,0.733,-7.005361872599877e-23
SVN,Slovenia,27,0.692,-4.588514831781588e-23
ESP,Spain,51,0.822,-0.0775103692033667
SUR,Suriname,47,0.781,-0.1531818909598173
SWE,Sweden,71,0.889,-0.0439587989996983
CHE,Switzerland,68,0.882,-0.0742098096504179
TWN,Taiwan,17,0.801,-0.1043757582507799
THA,Thailand,20,0.424,-0.2611617624506797
TTO,Trinidad and Tobago,16,0.786,-0.1058452239427197
TUR,Turkey,37,0.293,-0.4125651494348228
USA,U.S.A.,91,0.735,-0.1072477222141739
URY,Uruguay,36,0.862,-0.027454103790752
VEN,Venezuela,12,0.181,-0.2068324697206681
VNM,Vietnam,20,0.146,-0.2590441716924637
