ipu_country,wpei_country,ipu_r2,wpei_r2,ipu_tmid,wpei_tmid,ipu_n,wpei_n
Albania,Albania,0.9774620228982795,0.9723053220794644,2017.2277141959096,2014.8019804618175,27,114
Algeria,Algeria,0.49564707597762403,0.9530524312982346,2010.1771931123556,1981.7092068822503,29,126
Angola,Angola,0.8669485027008532,0.9785589684961868,2006.942287998792,1990.5589188213064,29,126
Argentina,Argentina,0.8103724063780666,0.9240432157882532,1986.2334499914573,1995.4589642249412,26,190
Armenia,Armenia,0.9755823636209651,0.9371850537770188,2020.3438477320674,2021.7889640780568,29,96
Australia,Australia,0.8432659787004945,0.991195502249112,2030.2756154849487,1980.3785710601103,28,160
Austria,Austria,0.6913000609172711,0.9801388743749504,2017.3920362511049,1982.6293540177032,27,170
Azerbaijan,Azerbaijan,0.8917916423356342,0.9790786502609828,2011.4715419172883,1974.4961412548537,28,201
Bahrain,Bahrain,0.9155978490440784,0.942165743415796,2020.706826671208,2070.233651065859,23,126
Bangladesh,Bangladesh,0.7911051556131563,0.9647736952905868,2006.523477774712,1975.161331208613,25,220
Barbados,Barbados,0.9082515813019432,0.9943214741507316,2018.4608670844393,1952.4897833213613,29,111
Belarus,Belarus,0.7219063590801802,0.9697970334138452,2000.5248827744597,1992.8448522716835,25,219
Belgium,Belgium,0.9397157752265233,0.9763222787732032,1996.1432040052864,1961.053485389179,29,135
Benin,Benin,0.8755167088325193,0.9511565517675744,2022.43377600746,1972.426259640382,29,126
Bhutan,Bhutan,0.34287719115355864,0.9713172671869018,2016.6432555018898,1995.1779100299923,29,126
Bolivia,Bolivia,0.9240104966581818,0.973933523257102,2012.872042847523,1993.4155610725877,27,127
Bosnia and Herzegovina,Bosnia and Herzegovina,0.6047330227629146,0.9684618430276036,2008.9626654457504,1959.7348252853128,24,195
Botswana,Botswana,0.42330256574178016,0.9742655787805344,2004.2747090128564,1967.745717599932,28,126
Brazil,Brazil,0.9414899238554925,0.9493824686065973,2020.0521666169452,1993.0119965409665,29,161
Bulgaria,Bulgaria,0.7029699493986776,0.9603983676279136,1999.802197016669,1910.990549599843,29,214
Burkina Faso,Burkina Faso,0.29409147096139987,0.8922698186814565,2001.8809437499049,1991.9805535289152,28,92
Burundi,Burundi,0.9272374656912965,0.9790013730433524,1997.9920961691148,1997.53856584734,28,110
Cambodia,Cambodia,0.8304027534682759,0.8982207390023966,2006.1412208195484,1999.878504401288,29,126
Cameroon,Cameroon,0.9580403026446903,0.977670078482314,2012.7825493394348,1987.3827124777156,29,65
Canada,Canada,0.9801562149138273,0.9890644642977828,2014.3689040354188,1969.0256786752027,28,126
