code,bp_year,n,k_A,k_B,ratio,is_pw_winner
CIV,1959.0,126,0.006242238007821853,2.959155320922481e-05,210.94661586996085,0
COG,1959.0,123,0.0027616729188283174,1.950998185117969e-05,141.5517933278513,0
NPL,1949.0,237,0.00982932856617067,7.790142627099064e-05,126.17649042750541,0
DJI,1977.0,126,0.009823367346938776,8.205718332300558e-05,119.71367952359014,0
MOZ,1975.0,126,0.009524705882352944,0.00011893369788106629,80.0841649763354,0
SAU,2003.0,166,0.013430830039525691,0.0001731992826133702,77.54552927050572,1
KEN,1963.0,126,0.01042410714285715,0.00016119505494505493,64.66766084363022,1
ETH,1991.0,237,0.009984593837535017,0.00016534452633904352,60.38660038289584,0
SGP,1958.0,124,0.005766941063707166,9.625949736995932e-05,59.910359198560634,0
IDN,1945.0,226,0.00683211382113821,0.00011860835028390126,57.60230038428866,1
IRN,1924.0,237,0.002554466754499551,5.216354181575308e-05,48.97034721151004,0
LBR,1970.0,152,0.011190943267259055,0.0002299064099999107,48.67608200773263,0
GTM,1985.0,161,0.0116787456445993,0.0002711845605833061,43.06567313227136,0
AFG,2005.0,237,0.020454545454545454,0.0005666840475955605,36.0951495658543,0
BEN,1959.0,126,0.006301819778114773,0.00017960544595721048,35.08701946385373,0
TGO,1956.0,109,0.008433280591543557,0.0002473867595818814,34.089458165816936,0
PRK,1896.0,203,0.001482926582376108,4.513799575104544e-05,32.853177410779516,0
NAM,1989.0,126,0.007874822190611665,0.0002421204263900895,32.524402455512934,0
CUB,1887.0,233,0.0036426765248846406,0.00011230674087816957,32.43506575296507,1
OWID_TUS,1814.0,67,0.004981062469257252,0.0001701042118975228,29.282417017739878,0
TUN,1956.0,237,0.007398460327180472,0.000257647005228765,28.715491261431012,0
KWT,1960.0,237,0.0025215739484396207,9.66869721689626e-05,26.07976950641411,1
OWID_YPR,1949.0,91,0.004431164411311887,0.0001751740696278513,25.295778197798782,0
EGY,2013.0,205,0.026318681318681324,0.0012009866297641673,21.91421675014768,0
LUX,1946.0,86,0.046214285714285715,0.002291807313642756,20.16499617536762,0
TWN,1944.0,232,0.009393508995330917,0.000475921390232237,19.737522179339603,0
FRA,1945.0,127,0.0026927506775067753,0.00013908596985472645,19.36033289568545,0
DZA,1962.0,126,0.007672481684981685,0.0004180107526881722,18.354747182078363,1
FJI,1969.0,124,0.0030035942200984816,0.00016803429271279865,17.874888343370326,0
MAR,1955.0,237,0.009165090543259558,0.0005459459738011067,16.78754122765724,0
SWE,1982.0,126,0.005522774022920954,0.00036525722339675613,15.120232179287823,0
STP,1974.0,126,0.005412959959019892,0.00036230440967283107,14.940364551201338,0
MRT,1959.0,122,0.006476933514246945,0.00043851674641148363,14.770093884098312,0
AUT,1860.0,170,0.005720935592860478,0.0003954523132784716,14.466815342237942,0
MMR,1962.0,237,0.006038919413919413,0.0004564879410005981,13.229088594722596,0
LAO,1940.0,230,0.004792641162318979,0.00037628152151360916,12.736849641301456,1
MLI,1958.0,125,0.004559966472097109,0.00035891291642314475,12.704938338638895,0
OWID_GDR,1985.0,42,0.03614285714285714,0.002884068278805123,12.531900651752677,1
CPV,1975.0,126,0.0072987330316742075,0.0005950102529049901,12.26656682979823,0
ERI,1993.0,126,0.006940842245989305,0.0005778130982913705,12.012261865495624,1
SLB,2013.0,126,0.02416483516483517,0.0020565764160304575,11.750030281625719,1
AGO,1974.0,126,0.009575983949457866,0.0008448364153627321,11.33471968694247,1
SVN,1945.0,161,0.007402213188798553,0.0006650854488617084,11.129717544516147,0
OMN,1970.0,114,0.00273207013184234,0.0002489604292421195,10.973913164269739,0
OWID_AFR,1959.0,126,0.007403815895921459,0.0006907273628785769,10.718868679338792,0
CAN,1994.0,126,0.006099818029115339,0.0006059384164222879,10.066729330566625,1
MEX,1948.0,161,0.0075875390432352426,0.0007773032062417942,9.76136336799697,0
PER,1935.0,129,0.0067310240484153554,0.0007150192382098799,9.413766355807612,0
BTN,1952.0,126,0.006040607182524993,0.0006509433962264147,9.279773352864488,1
GNB,1973.0,126,0.0054704079987098865,0.0005895742317660116,9.278573763856365,0
ZWE,1980.0,126,0.004376441566450816,0.00047755194218608853,9.1643257619617,0
MKD,1908.0,235,0.006348942184435705,0.0007060388448193229,8.992341187771922,0
QAT,1970.0,91,0.003535271807838183,0.0003983232729711591,8.875383508144042,0
KOR,1945.0,237,0.00747940379403794,0.0008668529326031545,8.628226903008025,0
MDA,1946.0,211,0.007893624003750585,0.0009264179173338144,8.520586504272337,0
BWA,1965.0,126,0.005974722369116869,0.000705458720384094,8.469272824161663,0
CRI,1949.0,126,0.005593327724906674,0.0006654501800720292,8.405329042515618,0
ROU,1946.0,128,0.006127297233942802,0.0007527396948533687,8.139994842621366,1
HTI,1990.0,198,0.0007019455365298037,8.687258687258768e-05,8.080173064942999,1
OWID_EUR,1899.0,237,0.005214479794068711,0.0006613331907686905,7.8847997754471395,0
PAK,1987.0,170,0.006307085020242915,0.0008117873757096171,7.769380516332407,1
CYP,1960.0,126,0.008027888529381069,0.001058223162347963,7.586196196621666,0
POL,1989.0,142,0.00406983320412452,0.0005393551446183035,7.545739101097668,1
SSD,1945.0,173,0.004068202348690154,0.0005726804748543813,7.103790904910105,0
GIN,1958.0,126,0.0029063251517349314,0.0004101694915254239,7.08566875836202,1
OWID_WRL,1937.0,237,0.006233995453013276,0.000888144220529657,7.019125170116569,0
SOM,1992.0,126,0.010027807486631016,0.0014749336038912602,6.798819594438041,1
GMB,1965.0,126,0.005607403490216816,0.000826469053334725,6.78477127194475,1
ESP,1977.0,149,0.004981224489795916,0.0007440361333807061,6.694869061214179,0
