entity,frac_within_0.10,n,v,collapse_r2
Afghanistan,0.559322033898305,59,10.897194284356512,-1.500578174734461
Angola,0.9864864864864865,74,0.0050000000000124,0.9589887456084075
Albania,1.0,74,19.99999999764417,0.9425003053261957
United Arab Emirates,0.9622641509433962,53,1.8436083910754144,0.9590399399133444
Argentina,0.6351351351351351,74,12.327293275137452,0.6913317820873065
Armenia,0.9864864864864865,74,19.99999943892025,0.891788748267621
Australia,0.9864864864864865,74,10.9557309831872,0.9705221978425544
Austria,1.0,74,19.99999999999996,0.9823574786354197
Azerbaijan,0.972972972972973,74,3.3810783372682485,0.8617020248667893
Burundi,0.8513513513513513,74,13.204436982348083,0.9674564773561748
Belgium,0.9459459459459459,74,1.9419773088981205,0.9349907679926233
Benin,0.6756756756756757,74,0.0050000000000002,0.8798392321934938
Burkina Faso,0.6621621621621622,74,19.99999761642192,0.8215815396375161
Bangladesh,0.7,60,5.189293419791224,0.8173317683849814
Bulgaria,0.7972972972972973,74,0.0050000000002356,0.6885898059276516
Bahrain,1.0,74,18.413848236788308,0.9169039014050256
Bosnia and Herzegovina,0.8783783783783784,74,0.8458567647815152,0.6798828867127684
Belarus,0.7837837837837838,74,10.072036440853228,0.8875035515330981
Bolivia,0.7972972972972973,74,3.97083305120806,0.9427417103652256
Brazil,0.6081081081081081,74,9.99806174093327,0.8414019577241669
Barbados,0.9830508474576272,59,0.0050000000000015,0.8457928668753228
Bhutan,1.0,74,0.523477670446885,0.9518811116207204
Botswana,0.7567567567567568,74,0.005,0.9368789528322785
Central African Republic,0.9722222222222222,72,0.0050000000000045,0.9686527295744903
Canada,1.0,74,19.999999999998103,0.9835936903670374
Switzerland,0.8918918918918919,74,0.0050000000000503,0.9656227961976129
Chile,0.5675675675675675,74,0.005,0.8798639667829709
China,0.918918918918919,74,1.0183554182606565,0.8168841514355347
Cote d'Ivoire,0.7027027027027027,74,0.005,0.8932611285134526
Cameroon,0.9206349206349206,63,0.005,0.9770115687173596
Democratic Republic of Congo,1.0,74,0.2117326676150314,0.9251983990856746
Congo,1.0,74,19.99999999999605,0.7336627390743722
Colombia,0.7567567567567568,74,7.927770021511422,0.878158408028965
Comoros,0.8108108108108109,74,0.5911460133890744,0.8682440868237069
Cape Verde,0.8783783783783784,74,0.005,0.9747814509852191
Costa Rica,0.8243243243243243,74,0.0050000000000488,0.862657007833638
Cuba,0.7702702702702703,74,0.0050000000006537,0.6863058552504764
Cyprus,0.9324324324324325,74,0.005,0.9732227858317619
Czechia,0.7567567567567568,74,19.99999999986339,0.8281692130347206
Germany,1.0,33,14.32233664470896,-2.437033382945835
Djibouti,0.9054054054054054,74,0.0050000000014381,0.9700483195741331
Denmark,1.0,74,0.0050000000044275,0.9071850123167033
Dominican Republic,0.8918918918918919,74,8.018794436472136,0.9476501074310437
Algeria,0.7837837837837838,74,0.0050000000001039,0.9023699634272965
Ecuador,0.8918918918918919,74,1.4589501707565036,0.9748651707982761
Egypt,0.9324324324324325,74,12.464641521018688,0.5442701998762485
Eritrea,0.01639344262295082,61,0.0050000000141202,-6.114442937205203
Spain,0.972972972972973,74,0.005,0.9908658652364708
Estonia,0.5540540540540541,74,16.591901254021874,0.786314371576508
Ethiopia,0.9054054054054054,74,0.005000002829175,0.970459546465391
Finland,1.0,74,6.866968170345408,0.8544346335816453
Fiji,0.5,72,0.005,0.8183759613996962
France,0.527027027027027,74,0.005,0.4257206074028559
Gabon,0.9459459459459459,74,0.0050000000000051,0.9605684181250713
United Kingdom,0.9864864864864865,74,4.009083507504325,0.9255525215971705
Georgia,0.8918918918918919,74,10.059841989648948,0.9243511487533971
Ghana,0.6351351351351351,74,16.27713446697906,0.8510414477341226
Guinea,0.2702702702702703,74,0.005,0.5781619695865085
Gambia,0.5675675675675675,74,0.005,0.8447020631560995
Guinea-Bissau,0.7162162162162162,74,0.005,0.9503506044939557
Equatorial Guinea,0.7297297297297297,74,0.5724426794881634,0.9446220928488783
Greece,0.8243243243243243,74,9.235814849769742,0.8547124488566309
Guatemala,0.8648648648648649,74,3.65298129108793,0.9456257710192374
Guyana,0.828125,64,0.0050000000000001,0.9141776809573796
Hong Kong,0.9324324324324325,74,8.258740373530035,0.955765237667062
Honduras,0.7297297297297297,74,5.22155627613162,0.8971593309763428
Croatia,1.0,74,2.8398835754862204,0.9009804953039493
Haiti,0.5540540540540541,74,5.770004334268248,0.9245271060823156
Hungary,0.7297297297297297,74,11.058124302675644,0.8353404574263205
Indonesia,0.7432432432432432,74,0.4761474268432198,0.7979106424318299
India,0.7972972972972973,74,1.8025112942595376,0.7102518003867335
Ireland,1.0,74,19.999999999999996,0.9563362050680642
Iran,0.36486486486486486,74,0.0050000000000072,0.37292511453871335
Iraq,0.7972972972972973,74,8.329325087738617,0.708925521601276
Iceland,1.0,74,17.229158021323645,0.9652595697693888
Israel,0.9864864864864865,74,0.5290403441213766,0.8563744850062837
Italy,0.9459459459459459,74,3.3556764870673748,0.9416972356512048
Jamaica,0.9649122807017544,57,1.327466982312264,0.9155064891907428
Jordan,0.9459459459459459,74,0.6009990629322695,0.9810998128211479
Japan,0.8513513513513513,74,3.133158671243392,0.37072087038658885
Kazakhstan,0.7837837837837838,74,10.499972973849491,0.9043789950013961
Kenya,0.972972972972973,74,0.005,0.9635021168796142
Kyrgyzstan,0.9594594594594594,74,19.99999999786437,0.8906113297679017
Cambodia,0.4189189189189189,74,19.999999999999936,0.7562036271752963
South Korea,0.918918918918919,74,1.1141258631852915,0.8821767883518029
Kuwait,0.7162162162162162,74,0.0050000000000001,0.8711383006893076
Laos,0.8918918918918919,74,1.7377961879263248,0.9574156487068889
Lebanon,1.0,74,19.317600424479807,0.6838056322304276
Liberia,0.7837837837837838,74,9.2329210695234,0.9322607667728346
Libya,0.9726027397260274,73,6.93936462989093,0.7313458117484084
Sri Lanka,0.44594594594594594,74,0.005,0.46704763443878994
Lesotho,0.9324324324324325,74,20.0,0.9502933315725982
Lithuania,0.6486486486486487,74,12.012139279380536,0.8483995487532756
Luxembourg,0.7972972972972973,74,0.005,0.1335686594638057
Latvia,0.6805555555555556,72,9.91228569329285,0.8730590692077038
Morocco,0.9054054054054054,74,7.391557706688938,0.9632867476287017
Moldova,0.8918918918918919,74,9.348626888953676,0.93005644154067
Madagascar,0.7027027027027027,74,0.0050000000000117,0.9198376738827668
Maldives,0.6875,48,0.005000000000181,0.6899272139204097
Mexico,1.0,74,3.142562402813048,0.9867300244445352
North Macedonia,0.9054054054054054,74,0.610599049177183,0.8153375646102368
Mali,0.6164383561643836,73,0.005,0.8536018250526072
Malta,0.96875,64,0.005,0.8859646706972495
Myanmar,0.45454545454545453,55,0.0050000009391849,0.457489947462816
Montenegro,1.0,19,1.146192856553428,0.9206942915955187
Mongolia,0.8378378378378378,74,19.9999999999997,0.8733754141546
Mozambique,0.8918918918918919,74,19.999999999999996,0.9719595186755315
Mauritania,0.8243243243243243,74,20.0,0.9094189953648723
Mauritius,0.8243243243243243,74,0.5229795376620439,0.9544482949308293
Malawi,0.8513513513513513,74,8.675392491927976,0.9621133007488654
Malaysia,0.6486486486486487,74,0.005,0.7100321024640592
Namibia,0.9324324324324325,74,0.005,0.9852259176109606
Niger,0.8783783783783784,74,2.493218685407766,0.960393287216732
Nigeria,1.0,55,13.707470207846065,0.9708069946989804
Nicaragua,0.7027027027027027,74,4.829234170908356,0.9571668104453975
Netherlands,1.0,74,8.268887928904052,0.9799496204849525
Norway,1.0,74,17.04177382336948,0.9314449034532016
Nepal,0.8378378378378378,74,13.568380083066076,0.9485274038027542
New Zealand,0.9864864864864865,74,10.40511177439865,0.9930020537424048
Oman,0.7096774193548387,62,0.005,0.9522175137010183
Pakistan,0.48333333333333334,60,6.9890822669566175,0.873234084603416
Panama,0.6621621621621622,74,0.0050000000446885,0.9500580880186329
Peru,0.7567567567567568,74,19.9999999985248,0.894148891279075
Philippines,0.5945945945945946,74,20.0,0.7074394227329179
Papua New Guinea,0.918918918918919,74,0.0050000000051306,0.9833285690757984
Poland,0.7297297297297297,74,0.0050000000001487,0.6553092039033104
North Korea,0.8918918918918919,74,0.0050000000024894,0.44913345066192956
Portugal,1.0,74,0.005,0.986985594787598
Paraguay,0.9054054054054054,74,0.005,0.9718909114865898
Qatar,0.8717948717948718,39,0.2988618836933647,0.9757818457920909
Romania,0.8378378378378378,74,0.6717732837213705,0.8760168867176717
Russia,0.8243243243243243,74,13.606834107160449,0.8516936696353351
Rwanda,0.8918918918918919,74,19.99999999999626,0.9437271457273727
Saudi Arabia,0.9047619047619048,21,3.862013370071213,0.9427908146361317
