entity,code,n_points,r2,v,collapse_r2,S_hat_std,t_hat_range
Afghanistan,AFG,59,0.5307043485223101,10.897194284356512,-1.500578174734461,0.2435723299247562,21.671677181920877
Angola,AGO,74,0.9785589684961868,0.0050000000000124,0.9589887456084075,0.24116206316341307,2.663792667497421
Albania,ALB,74,0.9723053220794644,19.99999999764417,0.9425003053261957,0.1367746363038497,15.13316515826405
United Arab Emirates,ARE,53,0.965756219564071,1.8436083910754144,0.9590399399133444,0.1966100784391038,6.031794631158816
Argentina,ARG,74,0.9240432157882532,12.327293275137452,0.6913317820873065,0.23810936515308315,11.663204938872045
Armenia,ARM,74,0.9371850537770188,19.99999943892025,0.891788748267621,0.15294451115399424,17.61710142583295
Australia,AUS,74,0.991195502249112,10.9557309831872,0.9705221978425544,0.18979837202350358,13.421103723221513
Austria,AUT,74,0.9801388743749504,19.99999999999996,0.9823574786354197,0.14531680648286602,17.73751480998098
Azerbaijan,AZE,74,0.9790786502609828,3.3810783372682485,0.8617020248667893,0.1576540802826892,4.284637638532797
Burundi,BDI,74,0.9790013730433524,13.204436982348083,0.9674564773561748,0.364880902976617,48.612670823498064
Belgium,BEL,74,0.9763222787732032,1.9419773088981205,0.9349907679926233,0.15579040958281853,5.029185779153721
Benin,BEN,74,0.9511565517675744,0.0050000000000002,0.8798392321934938,0.29114467560442003,3.3573556404608977
Burkina Faso,BFA,74,0.8922698186814565,19.99999761642192,0.8215815396375161,0.2341368487358307,27.108497915563206
Bangladesh,BGD,60,0.9647736952905868,5.189293419791224,0.8173317683849814,0.245146648892316,15.252598218990965
Bulgaria,BGR,74,0.9603983676279136,0.0050000000002356,0.6885898059276516,0.1359421747993396,1.2240412998992753
Bahrain,BHR,74,0.942165743415796,18.413848236788308,0.9169039014050256,0.08255877005366045,13.559526929963205
Bosnia and Herzegovina,BIH,74,0.9684618430276036,0.8458567647815152,0.6798828867127684,0.13546625615113314,2.183915113317576
Belarus,BLR,74,0.9697970334138452,10.072036440853228,0.8875035515330981,0.25406634102912956,15.139125715158906
Bolivia,BOL,74,0.973933523257102,3.97083305120806,0.9427417103652256,0.29035886142477174,11.039483407262711
Brazil,BRA,74,0.9493824686065973,9.99806174093327,0.8414019577241669,0.25786506234856993,13.219768256401402
Barbados,BRB,59,0.9943214741507316,0.0050000000000015,0.8457928668753228,0.09835038377436424,5.903472183587875
Bhutan,BTN,74,0.9713172671869018,0.523477670446885,0.9518811116207204,0.18624722529353374,2.3606542517175226
Botswana,BWA,74,0.9742655787805344,0.005,0.9368789528322785,0.3457089037083016,5.555385972123119
Central African Republic,CAF,72,0.9871222891887792,0.0050000000000045,0.9686527295744903,0.2697288021359621,3.7758086325299276
Canada,CAN,74,0.9890644642977828,19.999999999998103,0.9835936903670374,0.09181860319637873,12.687599882026445
Switzerland,CHE,74,0.968864603623885,0.0050000000000503,0.9656227961976129,0.3798984177597614,10.183198973532129
Chile,CHL,74,0.8775703401014017,0.005,0.8798639667829709,0.4169239149312073,17.066547239554957
China,CHN,74,0.9841458922258568,1.0183554182606565,0.8168841514355347,0.1439368463664204,4.635285358465409
Cote d'Ivoire,CIV,74,0.9601987749876624,0.005,0.8932611285134526,0.2854499944355325,3.5565591263164142
Cameroon,CMR,63,0.977670078482314,0.005,0.9770115687173596,0.33307746479168465,4.318288835816835
Democratic Republic of Congo,COD,74,0.972513729987426,0.2117326676150314,0.9251983990856746,0.12837846116148383,1.3474461639163504
Congo,COG,74,0.8834268925567518,19.99999999999605,0.7336627390743722,0.07094104442910903,15.083929545116488
