code,year,wpei,S,MAC
AFG,1950,0.132,-0.868,29.226
AFG,1951,0.132,-0.868,29.239
AFG,1952,0.132,-0.868,29.251
AFG,1953,0.132,-0.868,29.264
AFG,1954,0.132,-0.868,29.277
AFG,1955,0.137,-0.863,29.29
AFG,1956,0.137,-0.863,29.303
AFG,1957,0.152,-0.848,29.317
AFG,1958,0.152,-0.848,29.331
AFG,1959,0.152,-0.848,29.345
AFG,1960,0.153,-0.847,29.359
AFG,1961,0.153,-0.847,29.374
AFG,1962,0.153,-0.847,29.39
AFG,1963,0.153,-0.847,29.407
AFG,1964,0.154,-0.846,29.426
AFG,1965,0.197,-0.8029999999999999,29.442
AFG,1966,0.197,-0.8029999999999999,29.461
AFG,1967,0.195,-0.8049999999999999,29.481
AFG,1968,0.195,-0.8049999999999999,29.5
AFG,1969,0.187,-0.813,29.519
AFG,1970,0.187,-0.813,29.54
AFG,1971,0.187,-0.813,29.56
AFG,1972,0.187,-0.813,29.582
AFG,1973,0.174,-0.8260000000000001,29.601
AFG,1974,0.149,-0.851,29.622
AFG,1975,0.149,-0.851,29.644
AFG,1976,0.149,-0.851,29.666
AFG,1977,0.149,-0.851,29.686
AFG,1978,0.16,-0.84,29.704
AFG,1979,0.153,-0.847,29.728
AFG,1980,0.183,-0.817,29.754
AFG,1981,0.187,-0.813,29.782
AFG,1982,0.187,-0.813,29.814
AFG,1983,0.187,-0.813,29.815
AFG,1984,0.187,-0.813,29.821
AFG,1985,0.187,-0.813,29.828
AFG,1986,0.187,-0.813,29.854
AFG,1987,0.187,-0.813,29.881
AFG,1988,0.205,-0.795,29.852
AFG,1989,0.205,-0.795,29.797
AFG,1990,0.172,-0.8280000000000001,29.743
AFG,1991,0.171,-0.829,29.677
AFG,1992,0.129,-0.871,29.697
AFG,1993,0.096,-0.904,29.716
AFG,1994,0.098,-0.902,29.599
AFG,1995,0.089,-0.911,29.546
AFG,1996,0.041,-0.959,29.501
AFG,1997,0.04,-0.96,29.475
AFG,1998,0.04,-0.96,29.512
AFG,1999,0.04,-0.96,29.481
AFG,2000,0.04,-0.96,29.445
AFG,2001,0.054,-0.946,29.363
AFG,2002,0.282,-0.718,29.268
AFG,2003,0.292,-0.708,29.295
AFG,2004,0.292,-0.708,29.279
AFG,2005,0.324,-0.6759999999999999,29.257
AFG,2006,0.471,-0.529,29.219
AFG,2007,0.47,-0.53,29.202
AFG,2008,0.467,-0.5329999999999999,29.114
AFG,2009,0.469,-0.531,29.203
AFG,2010,0.476,-0.524,29.26
AFG,2011,0.476,-0.524,29.278
AFG,2012,0.476,-0.524,29.329
AFG,2013,0.478,-0.522,29.388
AFG,2014,0.48,-0.52,29.482
AFG,2015,0.483,-0.517,29.605
AFG,2016,0.472,-0.528,29.734
AFG,2017,0.488,-0.512,29.85
AFG,2018,0.5,-0.5,29.984
AFG,2019,0.489,-0.511,30.137
AFG,2020,0.494,-0.506,30.275
AFG,2021,0.047,-0.953,30.414
AFG,2022,0.025,-0.975,30.374
AFG,2023,0.021,-0.979,30.366
ALB,1950,0.381,-0.619,30.975
ALB,1951,0.381,-0.619,30.881
ALB,1952,0.381,-0.619,31.06
ALB,1953,0.381,-0.619,30.866
ALB,1954,0.371,-0.629,30.799
ALB,1955,0.371,-0.629,31.13
ALB,1956,0.371,-0.629,30.929
ALB,1957,0.371,-0.629,30.761
ALB,1958,0.357,-0.643,30.739
ALB,1959,0.357,-0.643,30.58
ALB,1960,0.357,-0.643,30.813
ALB,1961,0.357,-0.643,30.786
ALB,1962,0.37,-0.63,30.834
ALB,1963,0.37,-0.63,30.704
ALB,1964,0.37,-0.63,30.558
ALB,1965,0.37,-0.63,30.325
ALB,1966,0.441,-0.5589999999999999,30.168
ALB,1967,0.441,-0.5589999999999999,30.036
ALB,1968,0.441,-0.5589999999999999,29.766
ALB,1969,0.441,-0.5589999999999999,29.736
ALB,1970,0.472,-0.528,29.732
ALB,1971,0.472,-0.528,29.671
ALB,1972,0.472,-0.528,29.609
ALB,1973,0.472,-0.528,29.526
ALB,1974,0.479,-0.521,29.459
ALB,1975,0.479,-0.521,29.342
ALB,1976,0.48,-0.52,29.35
ALB,1977,0.48,-0.52,29.33
ALB,1978,0.48,-0.52,29.249
ALB,1979,0.48,-0.52,29.212
ALB,1980,0.471,-0.529,29.175
ALB,1981,0.471,-0.529,29.112
ALB,1982,0.469,-0.531,29.125
ALB,1983,0.469,-0.531,28.972
ALB,1984,0.469,-0.531,29.012
ALB,1985,0.469,-0.531,28.852
ALB,1986,0.469,-0.531,28.674
ALB,1987,0.467,-0.5329999999999999,28.647
ALB,1988,0.467,-0.5329999999999999,28.48
ALB,1989,0.467,-0.5329999999999999,28.395
ALB,1990,0.466,-0.534,28.376
ALB,1991,0.548,-0.45199999999999996,28.199
ALB,1992,0.573,-0.42700000000000005,27.893
ALB,1993,0.586,-0.41400000000000003,27.709
ALB,1994,0.591,-0.40900000000000003,27.619
ALB,1995,0.594,-0.406,27.587
ALB,1996,0.634,-0.366,27.564
ALB,1997,0.588,-0.41200000000000003,27.515
ALB,1998,0.627,-0.373,27.456
ALB,1999,0.632,-0.368,27.479
ALB,2000,0.662,-0.33799999999999997,27.789
ALB,2001,0.677,-0.32299999999999995,28.581
ALB,2002,0.69,-0.31000000000000005,28.032
ALB,2003,0.704,-0.29600000000000004,27.871
ALB,2004,0.704,-0.29600000000000004,27.705
ALB,2005,0.753,-0.247,27.615
ALB,2006,0.753,-0.247,27.699
ALB,2007,0.753,-0.247,27.884
ALB,2008,0.753,-0.247,28.071
ALB,2009,0.79,-0.20999999999999996,27.583
ALB,2010,0.785,-0.21499999999999997,27.466
ALB,2011,0.785,-0.21499999999999997,27.453
ALB,2012,0.785,-0.21499999999999997,27.483
ALB,2013,0.815,-0.18500000000000005,27.633
ALB,2014,0.823,-0.17700000000000005,27.784
ALB,2015,0.823,-0.17700000000000005,27.956
ALB,2016,0.827,-0.17300000000000004,28.178
ALB,2017,0.834,-0.16600000000000004,28.393
ALB,2018,0.84,-0.16000000000000003,28.621
ALB,2019,0.892,-0.10799999999999998,28.841
ALB,2020,0.899,-0.10099999999999998,29.009
ALB,2021,0.9,-0.09999999999999998,29.115
ALB,2022,0.898,-0.10199999999999998,29.129
ALB,2023,0.896,-0.10399999999999998,29.132
DZA,1950,0.085,-0.915,30.19
DZA,1951,0.085,-0.915,30.19
DZA,1952,0.085,-0.915,30.19
DZA,1953,0.085,-0.915,30.19
DZA,1954,0.086,-0.914,30.19
DZA,1955,0.086,-0.914,30.19
DZA,1956,0.086,-0.914,30.19
DZA,1957,0.086,-0.914,30.19
DZA,1958,0.086,-0.914,30.19
DZA,1959,0.086,-0.914,30.19
DZA,1960,0.086,-0.914,30.19
DZA,1961,0.086,-0.914,30.191
DZA,1962,0.204,-0.796,30.191
DZA,1963,0.358,-0.642,30.191
DZA,1964,0.333,-0.667,30.191
DZA,1965,0.324,-0.6759999999999999,30.191
DZA,1966,0.324,-0.6759999999999999,30.191
DZA,1967,0.324,-0.6759999999999999,30.191
DZA,1968,0.324,-0.6759999999999999,30.191
DZA,1969,0.324,-0.6759999999999999,30.191
DZA,1970,0.324,-0.6759999999999999,30.191
DZA,1971,0.324,-0.6759999999999999,30.278
DZA,1972,0.324,-0.6759999999999999,30.366
DZA,1973,0.324,-0.6759999999999999,30.445
DZA,1974,0.324,-0.6759999999999999,30.524
DZA,1975,0.324,-0.6759999999999999,30.603
DZA,1976,0.324,-0.6759999999999999,30.616
DZA,1977,0.325,-0.675,30.615
DZA,1978,0.349,-0.651,30.631
DZA,1979,0.353,-0.647,30.675
DZA,1980,0.381,-0.619,30.629
DZA,1981,0.384,-0.616,30.763
DZA,1982,0.369,-0.631,30.909
DZA,1983,0.369,-0.631,31.015
DZA,1984,0.369,-0.631,31.124
DZA,1985,0.391,-0.609,31.096
DZA,1986,0.391,-0.609,31.125
DZA,1987,0.397,-0.603,31.315
DZA,1988,0.397,-0.603,31.407
DZA,1989,0.417,-0.583,31.451
DZA,1990,0.439,-0.5609999999999999,31.544
DZA,1991,0.442,-0.558,31.467
DZA,1992,0.421,-0.579,31.394
DZA,1993,0.421,-0.579,31.39
DZA,1994,0.421,-0.579,31.382
DZA,1995,0.465,-0.5349999999999999,31.394
DZA,1996,0.465,-0.5349999999999999,31.42
DZA,1997,0.448,-0.552,31.525
DZA,1998,0.448,-0.552,31.597
DZA,1999,0.469,-0.531,31.631
DZA,2000,0.547,-0.45299999999999996,31.706
DZA,2001,0.547,-0.45299999999999996,31.736
DZA,2002,0.566,-0.43400000000000005,31.713
DZA,2003,0.566,-0.43400000000000005,31.742
DZA,2004,0.561,-0.43899999999999995,31.778
DZA,2005,0.588,-0.41200000000000003,31.824
DZA,2006,0.588,-0.41200000000000003,31.772
DZA,2007,0.588,-0.41200000000000003,31.774
DZA,2008,0.588,-0.41200000000000003,31.776
DZA,2009,0.603,-0.397,31.793
DZA,2010,0.596,-0.404,31.972
DZA,2011,0.601,-0.399,32.026
DZA,2012,0.713,-0.28700000000000003,31.797
DZA,2013,0.763,-0.237,31.775
DZA,2014,0.775,-0.22499999999999998,31.784
DZA,2015,0.775,-0.22499999999999998,31.772
DZA,2016,0.787,-0.21299999999999997,31.693
DZA,2017,0.732,-0.268,31.759
DZA,2018,0.771,-0.22899999999999998,31.681
DZA,2019,0.76,-0.24,31.484
DZA,2020,0.76,-0.24,31.476
DZA,2021,0.645,-0.355,31.464
DZA,2022,0.604,-0.396,31.462
DZA,2023,0.614,-0.386,31.453
AGO,1950,0.162,-0.838,30.911
AGO,1951,0.162,-0.838,30.899
AGO,1952,0.162,-0.838,30.889
AGO,1953,0.162,-0.838,30.878
AGO,1954,0.162,-0.838,30.867
AGO,1955,0.162,-0.838,30.856
AGO,1956,0.162,-0.838,30.846
AGO,1957,0.162,-0.838,30.836
AGO,1958,0.162,-0.838,30.826
AGO,1959,0.162,-0.838,30.815
AGO,1960,0.162,-0.838,30.805
AGO,1961,0.162,-0.838,30.796
AGO,1962,0.162,-0.838,30.787
AGO,1963,0.162,-0.838,30.778
AGO,1964,0.162,-0.838,30.771
AGO,1965,0.162,-0.838,30.763
AGO,1966,0.162,-0.838,30.756
AGO,1967,0.162,-0.838,30.748
AGO,1968,0.162,-0.838,30.739
AGO,1969,0.187,-0.813,30.729
AGO,1970,0.187,-0.813,30.72
AGO,1971,0.187,-0.813,30.711
AGO,1972,0.187,-0.813,30.703
AGO,1973,0.187,-0.813,30.695
AGO,1974,0.189,-0.8109999999999999,30.689
AGO,1975,0.337,-0.663,30.683
AGO,1976,0.347,-0.653,30.676
AGO,1977,0.343,-0.657,30.667
