code,entity,n,year_min,year_max,breakpoint,pw_R2
OWID_PMA,Parma,60,1789,1859,1826.5,0.6061
POL,Poland,142,1794,2025,1844.1,0.9479
BGR,Bulgaria,214,1789,2025,1847.6,0.968
CUB,Cuba,233,1789,2025,1869.9,0.9581
MLT,Malta,105,1900,2025,1930.8,0.9804
SDN,Sudan,173,1821,2025,1931.1,0.7643
ROU,Romania,128,1860,2025,1931.5,0.9572
IDN,Indonesia,226,1800,2025,1932.2,0.9545
SRB,Serbia,195,1789,2025,1935.0,0.9422
GIN,Guinea,126,1900,2025,1935.1,0.8535
KWT,Kuwait,237,1789,2025,1938.7,0.9706
OWID_RVN,Republic of Vietnam,168,1802,1975,1939.4,0.8776
MDG,Madagascar,209,1817,2025,1939.9,0.9384
MYS,Malaysia,126,1900,2025,1941.0,0.8948
DEU,Germany,139,1789,2025,1943.0,0.9016
GAB,Gabon,116,1910,2025,1944.2,0.9829
LAO,Laos,230,1789,2025,1944.5,0.9482
GMB,Gambia,126,1900,2025,1945.9,0.9398
BTN,Bhutan,126,1900,2025,1947.0,0.9737
DZA,Algeria,126,1900,2025,1948.5,0.9565
COD,Democratic Republic of Congo,126,1900,2025,1949.2,0.9742
HRV,Croatia,85,1941,2025,1949.7,0.9539
DOM,Dominican Republic,160,1789,2025,1949.9,0.9789
KEN,Kenya,126,1900,2025,1953.4,0.9851
HUN,Hungary,185,1789,2025,1957.0,0.9435
AGO,Angola,126,1900,2025,1963.2,0.9796
OWID_GFR,West Germany,42,1949,1990,1964.3,0.9483
LKA,Sri Lanka,126,1900,2025,1967.9,0.9117
CZE,Czechia,177,1789,2025,1969.6,0.8716
TKM,Turkmenistan,118,1896,2025,1971.0,0.6882
ARG,Argentina,190,1789,2025,1971.5,0.9298
SVK,Slovakia,185,1789,2025,1973.1,0.9041
HTI,Haiti,198,1789,2025,1974.0,0.8151
EST,Estonia,230,1789,2025,1975.0,0.8663
URY,Uruguay,131,1825,2025,1979.0,0.849
PAK,Pakistan,170,1839,2025,1981.0,0.9249
CHL,Chile,143,1789,2025,1982.0,0.9063
TCD,Chad,106,1920,2025,1982.0,0.9143
OWID_GDR,East Germany,42,1949,1990,1988.5,0.7547
ALB,Albania,114,1912,2025,1989.0,0.9758
CAN,Canada,126,1900,2025,1994.8,0.9901
IRQ,Iraq,235,1789,2025,1996.5,0.9471
SAU,Saudi Arabia,166,1789,2025,1998.4,0.974
ERI,Eritrea,126,1900,2025,1999.0,0.266
ARE,United Arab Emirates,55,1971,2025,2001.9,0.9677
TZA,Tanzania,73,1915,2025,2002.5,0.9871
LBY,Libya,106,1911,2025,2004.0,0.9204
SOM,Somalia,126,1900,2025,2007.7,0.8333
YEM,Yemen,162,1789,2025,2009.4,0.912
LBN,Lebanon,108,1918,2025,2010.7,0.9206
SLB,Solomon Islands,126,1900,2025,2013.6,0.9519
BFA,Burkina Faso,92,1919,2025,2013.7,0.9114
BHR,Bahrain,126,1900,2025,2015.4,0.9569
