entity,n_points,richards_band,iso_band
Afghanistan,237,0.7383966244725738,0.7257383966244726
Africa,126,1.0,1.0
Albania,114,1.0,1.0
Algeria,126,0.8571428571428571,0.9285714285714286
Angola,126,0.9920634920634921,1.0
Argentina,190,0.8578947368421053,0.8789473684210526
Armenia,96,0.9895833333333334,1.0
Asia,126,1.0,1.0
Australia,160,0.9875,0.99375
Austria,170,0.9117647058823529,1.0
Azerbaijan,201,0.9651741293532339,0.9950248756218906
Bahrain,126,1.0,1.0
Bangladesh,220,0.8409090909090909,0.9545454545454546
Barbados,111,0.9819819819819819,0.9819819819819819
Belarus,219,0.91324200913242,0.9406392694063926
Belgium,135,0.9111111111111111,0.9259259259259259
Benin,126,0.8095238095238095,0.8095238095238095
Bhutan,126,0.9920634920634921,1.0
Bolivia,127,0.8818897637795275,0.9448818897637795
Bosnia and Herzegovina,195,0.9333333333333333,0.958974358974359
Botswana,126,0.8571428571428571,0.9047619047619048
Brazil,161,0.8012422360248447,0.8509316770186336
Bulgaria,214,0.8644859813084113,0.897196261682243
Burkina Faso,92,0.7065217391304348,0.8586956521739131
Burundi,110,0.9,0.9727272727272728
Cambodia,126,0.6507936507936508,0.7936507936507936
Cameroon,65,0.9230769230769231,0.9692307692307692
Canada,126,1.0,1.0
Cape Verde,126,0.9285714285714286,0.9365079365079365
Central African Republic,104,0.9807692307692307,0.9807692307692307
Chad,106,0.7547169811320755,0.8584905660377359
Chile,143,0.6153846153846154,0.5594405594405595
China,237,0.9451476793248945,0.9451476793248945
Colombia,158,0.8860759493670886,0.8924050632911392
Comoros,94,0.851063829787234,0.8404255319148937
Congo,123,1.0,1.0
Costa Rica,126,0.873015873015873,0.873015873015873
Cote d'Ivoire,126,0.8253968253968254,0.8333333333333334
Croatia,85,0.9764705882352941,0.9764705882352941
Cuba,233,0.871244635193133,0.9613733905579399
Cyprus,126,0.9603174603174603,0.9523809523809523
Czechia,177,0.7401129943502824,0.8531073446327684
Democratic Republic of Congo,126,1.0,1.0
Democratic Republic of Vietnam,31,0.41935483870967744,0.6129032258064516
Denmark,185,0.8918918918918919,0.9405405405405406
Djibouti,126,0.9444444444444444,0.9523809523809523
Dominican Republic,160,0.875,0.95625
East Germany,42,0.9523809523809523,0.9523809523809523
East Timor,124,0.8629032258064516,0.8548387096774194
Ecuador,126,0.9365079365079365,0.9444444444444444
Egypt,205,0.9707317073170731,0.9853658536585366
El Salvador,126,0.8888888888888888,0.9841269841269841
Equatorial Guinea,126,0.8412698412698413,0.9206349206349206
Eritrea,126,0.3412698412698413,0.3412698412698413
Estonia,230,0.7478260869565218,0.8043478260869565
Eswatini,126,0.35714285714285715,0.6825396825396826
Ethiopia,237,0.9704641350210971,0.9746835443037974
Europe,237,0.9746835443037974,1.0
Fiji,124,0.6935483870967742,0.6935483870967742
Finland,126,1.0,1.0
France,127,0.6299212598425197,0.6062992125984252
Gabon,116,0.9655172413793104,0.9741379310344828
Gambia,126,0.7301587301587301,0.7380952380952381
Georgia,213,0.9577464788732394,0.9624413145539906
Germany,139,0.8129496402877698,1.0
Ghana,124,0.782258064516129,0.8064516129032258
Greece,169,0.834319526627219,0.863905325443787
Guatemala,161,0.906832298136646,0.8944099378881988
Guinea,126,0.5555555555555556,0.6825396825396826
Guinea-Bissau,126,0.8253968253968254,0.9047619047619048
Guyana,116,0.9051724137931034,0.9568965517241379
Haiti,198,0.5454545454545454,0.6767676767676768
Honduras,127,0.8346456692913385,0.905511811023622
Hong Kong,126,0.8888888888888888,0.9603174603174603
Hungary,185,0.7783783783783784,0.7945945945945946
Iceland,103,0.9514563106796117,0.9514563106796117
India,237,0.8396624472573839,0.8649789029535865
Indonesia,226,0.9026548672566371,0.9203539823008849
Iran,237,0.8016877637130801,0.9282700421940928
Iraq,235,0.9361702127659575,0.948936170212766
Ireland,126,1.0,1.0
Israel,207,0.9903381642512077,0.9951690821256038
Italy,159,0.8930817610062893,0.9056603773584906
Jamaica,104,0.9711538461538461,1.0
Japan,227,0.8722466960352423,0.8722466960352423
Jordan,104,0.9615384615384616,0.9711538461538461
Kazakhstan,225,0.9111111111111111,0.9288888888888889
Kenya,126,0.9841269841269841,0.9841269841269841
Kuwait,237,0.9113924050632911,0.9367088607594937
Kyrgyzstan,138,0.9492753623188406,0.9855072463768116
Laos,230,0.7652173913043478,0.9608695652173913
Latvia,218,0.8532110091743119,0.8532110091743119
Lebanon,108,1.0,1.0
Lesotho,126,0.9603174603174603,0.9682539682539683
Liberia,152,0.8947368421052632,0.9210526315789473
Libya,106,0.9811320754716981,1.0
Lithuania,225,0.7822222222222223,0.8088888888888889
Luxembourg,86,0.7558139534883721,0.7674418604651163
Madagascar,209,0.2583732057416268,0.9569377990430622
Malawi,126,0.9126984126984127,0.9126984126984127
Malaysia,126,0.7301587301587301,0.7857142857142857
Maldives,100,0.84,0.99
Mali,125,0.776,0.776
Malta,105,0.9809523809523809,0.9904761904761905
Mauritania,122,0.8852459016393442,0.9098360655737705
Mauritius,126,0.8968253968253969,0.9206349206349206
Mexico,161,1.0,1.0
Moldova,211,0.9620853080568721,0.957345971563981
Mongolia,115,0.8956521739130435,0.9043478260869565
Montenegro,31,1.0,1.0
Morocco,237,0.9704641350210971,0.9704641350210971
Mozambique,126,0.5396825396825397,0.5396825396825397
Myanmar,237,0.5147679324894515,1.0
Namibia,126,0.9603174603174603,0.9603174603174603
Nepal,237,0.9493670886075949,0.9662447257383966
Netherlands,150,0.94,1.0
New Zealand,126,0.9920634920634921,1.0
Nicaragua,126,0.8095238095238095,0.9523809523809523
Niger,104,0.9134615384615384,0.9326923076923077
Nigeria,66,1.0,1.0
North America,185,0.9945945945945946,1.0
North Korea,203,0.9064039408866995,0.9458128078817734
North Macedonia,235,0.9531914893617022,0.9787234042553191
Norway,151,0.9602649006622517,0.9668874172185431
Oceania,126,0.9603174603174603,0.9603174603174603
Oman,114,0.8421052631578947,0.8421052631578947
Pakistan,170,0.6941176470588235,0.8
Panama,123,0.5691056910569106,0.6585365853658537
Papua New Guinea,126,0.9523809523809523,0.9603174603174603
Paraguay,159,0.7672955974842768,0.7484276729559748
Parma,60,0.23333333333333334,0.95
Peru,129,0.8372093023255814,0.9534883720930233
Philippines,123,0.7073170731707317,0.7886178861788617
Poland,142,0.7605633802816901,0.8661971830985915
Portugal,157,0.6942675159235668,0.802547770700637
Qatar,91,0.9230769230769231,0.967032967032967
Republic of Vietnam,168,0.08333333333333333,0.9583333333333334
Romania,128,0.859375,0.890625
Russia,225,0.9155555555555556,0.9688888888888889
Rwanda,110,0.9090909090909091,0.9272727272727272
Sao Tome and Principe,126,0.8968253968253969,0.9047619047619048
Saudi Arabia,166,0.9879518072289156,0.9879518072289156
Senegal,122,0.8770491803278688,0.8934426229508197
Serbia,195,0.7589743589743589,0.8974358974358975
Seychelles,116,0.9224137931034483,0.9568965517241379
Sierra Leone,82,0.8902439024390244,0.9024390243902439
Singapore,124,0.8064516129032258,0.8387096774193549
Slovakia,185,0.827027027027027,0.9837837837837838
Slovenia,161,0.9565217391304348,0.9813664596273292
Solomon Islands,126,0.9761904761904762,0.9841269841269841
Somalia,126,0.9682539682539683,1.0
Somaliland,95,0.8315789473684211,1.0
South Africa,123,0.975609756097561,0.975609756097561
South America,154,0.9545454545454546,0.9545454545454546
South Korea,237,0.9367088607594937,0.9367088607594937
South Sudan,173,0.9826589595375722,1.0
Spain,149,0.9261744966442953,0.9865771812080537
Sri Lanka,126,0.6428571428571429,0.6904761904761905
Sudan,173,0.2254335260115607,0.7687861271676301
Suriname,126,0.9126984126984127,0.9682539682539683
Sweden,126,1.0,1.0
Switzerland,171,0.9532163742690059,0.9532163742690059
Syria,233,0.8025751072961373,0.9914163090128756
Taiwan,232,0.9956896551724138,0.9956896551724138
Tajikistan,146,0.6095890410958904,0.958904109589041
Tanzania,73,1.0,1.0
Thailand,237,0.9578059071729957,0.9873417721518988
Togo,109,0.963302752293578,0.981651376146789
Trinidad and Tobago,110,1.0,1.0
Tunisia,237,0.919831223628692,0.9409282700421941
Turkey,235,0.8553191489361702,0.9148936170212766
Turkmenistan,118,0.1864406779661017,0.8220338983050848
Tuscany,67,0.8656716417910447,0.05970149253731343
Uganda,126,0.8492063492063492,0.9126984126984127
Ukraine,80,0.7375,0.7625
United Arab Emirates,55,0.9636363636363636,0.9818181818181818
United Kingdom,126,0.9920634920634921,1.0
United States,126,0.9920634920634921,1.0
Uruguay,131,0.9007633587786259,1.0
Uzbekistan,225,0.8,0.8755555555555555
Vanuatu,120,0.8083333333333333,0.9333333333333333
Venezuela,157,0.8789808917197452,0.9235668789808917
Vietnam,50,0.92,0.98
West Germany,42,0.7857142857142857,0.8095238095238095
World,237,1.0,1.0
Yemen,162,0.7592592592592593,0.9814814814814815
Yemen Arab Republic,73,0.7534246575342466,0.7671232876712328
Yemen People's Republic,91,0.8791208791208791,0.945054945054945
Zambia,115,0.8782608695652174,0.8782608695652174
Zanzibar,86,1.0,1.0
Zimbabwe,126,0.8174603174603174,0.8253968253968254
