entity,n_points,S_floor,S_ceil,k,t_mid,v,R2,status
Afghanistan,237,-0.9355142209168892,-0.8425961418606515,0.0574490520481412,1917.1873396030949,0.005000000003510681,0.4625766051438781,ok
Africa,126,-0.8553319700959882,-0.3595951123985038,0.050931485063926835,1969.683371900267,0.03244854970470873,0.9881482807841889,ok
Africa (population-weighted),126,-0.9908696465706976,-0.41412257172522754,0.3974815407431791,1993.545579388928,19.999999999999996,0.9792251578784954,ok
Albania,114,-0.9410890116813682,-0.21247098963768,0.999999999999955,1990.6012723619017,0.005000000000000001,0.9610298480772255,ok
Algeria,126,-0.9111188301767817,-0.29992147922681756,0.0438840518679394,1973.394846187243,0.005000000000000578,0.9592952421958483,ok
Angola,126,-0.9997524957910343,-0.47648095470534535,0.8606657287929816,2003.5577771452613,10.584310673674239,0.9799999354676386,ok
Argentina,237,-0.9636699686602976,-0.1491479507094325,0.018227738282200156,1844.807243688805,0.005000000002647349,0.8955586466494923,ok
Armenia,108,-0.9421946157267402,-0.14927070319138627,0.9999999999999999,1989.0327505367536,0.005000000000020941,0.9853186125286602,ok
Asia,126,-0.9520359791620664,-0.4587967366891527,0.22498562983585724,1991.6489495082526,19.999999999999996,0.9707910249820453,ok
Asia (population-weighted),237,-1.0034104698749133,-0.48062248434049176,0.3110835718593489,1989.6535442847523,19.99999999999992,0.9874462513788035,ok
Australia,237,-1.089585894069592,-0.11214848368608248,0.026168588192409754,1835.0993179331485,0.005000000000000001,0.9120480633765039,ok
Austria,231,-0.7987970182945056,-0.17352285549301358,0.9999999999999822,1866.6463928180272,0.005000000000000001,0.913370804908169,ok
Azerbaijan,213,-0.9070597058767785,-0.39705717437397076,0.9999999999995571,1989.108297247329,0.005000000005996226,0.8738487135441517,ok
Baden,83,-0.7197339044405494,-0.546343207573231,0.9999999999999999,1849.0963981984885,0.005000000000000063,0.9587777797384858,ok
Bahrain,126,-0.8734355203473753,-0.5165406782667311,0.9999999999990837,1923.3438286101707,0.005000000000000042,0.8990848316594353,ok
Bangladesh,237,-0.9375851578061664,-0.33154955359989424,0.7713173375231834,1975.292392275879,19.99999999714848,0.9542475623635354,ok
Barbados,126,-0.7409526112177783,-0.1602747439395988,0.2888527201436207,1969.5209210100631,4.343585472787847,0.9910556545654671,ok
Belarus,231,-0.9129965330579514,-0.24268683862397705,0.9999999999999999,1989.0967043689066,0.005000000001878957,0.8951436381317979,ok
Belgium,237,-0.31635576443433344,-0.025283751487360853,0.13376633892325876,1955.0660797681564,1.9482365532518375,0.8072797212705151,ok
Benin,126,-0.7868634612337777,-0.05282745128910579,0.05458281029647934,1966.5286697048334,0.005000000000001366,0.9576157886819285,ok
Bhutan,126,-0.7409634689362822,-0.16454721522533056,0.041354401697920186,1961.7669278062756,0.005000000000000001,0.9576410269132684,ok
Bolivia,201,-0.8965532359369479,-0.31863006279553985,0.9999999999999937,1985.385997628724,10.43747671289196,0.9634457427742676,ok
Bosnia and Herzegovina,197,-1.1473478308559069,-0.18510000690067455,0.06041563015079659,1983.2203324100713,8.45199260868056,0.8438729025625599,ok
Botswana,126,-0.8782314275939154,-0.22627266498852627,0.9999999999993324,1965.253998614013,0.005000000000000001,0.9819366905375018,ok
Brazil,237,-1.0261136769667625,-0.21064502157960538,0.16933125785876024,1996.7950725755993,19.999999999999996,0.8930627007488214,ok
Brunswick,74,-0.8322028661054257,-0.5232686345608406,0.19787995227641125,1834.3082165410453,0.005000000000024632,0.9615281088556986,ok
Bulgaria,237,-0.9509623577825302,-0.4515443841988461,0.3532378080481145,1881.9721749259154,7.659552585122907,0.5581784884648766,ok
Burkina Faso,92,-0.6134814797708538,-0.2604421041116699,0.10447972432654438,1958.9901966726447,0.005000000003167547,0.8825747000771419,ok
Burundi,110,-0.9362808767369771,-0.6710135104403622,0.07398518475328925,1970.0906584351894,0.005000000000000196,0.8892782468479535,ok
Cambodia,126,-0.789948121755963,-0.5190016522506835,0.9999999999999999,1991.6993947508654,0.005000000000000014,0.5838276976692512,ok
Cameroon,65,-0.500910210240002,-0.2751481258473676,0.9999999998414687,1981.2547111629306,3.576844963455694,0.9430478430930012,ok
