entity,n_points,S_floor,S_ceil,k,t_mid,v,R2,status
Afghanistan,237,-0.9763452613063356,-0.8238616260680306,0.03162239591013212,1934.447494240782,0.005000000000000001,0.6002067929505774,ok
Africa,126,-0.8836983552184705,-0.38529650639038754,0.1676686162902734,1991.7815720326032,3.663276826388384,0.992186867074283,ok
Africa (population-weighted),126,-0.9528618723597446,-0.36718037465420894,0.43361079364980837,1997.3028384605323,15.577136477762933,0.9860408976299003,ok
Albania,114,-1.4909999999999999,0.3559999999999999,0.03469180710014154,2012.8693698656941,3.634987021721204,0.9448868061446293,ok
Algeria,126,-0.9712885073735181,-0.335094713576716,0.7543650479129574,2001.734009197522,15.208947445964315,0.9752883940840821,ok
Angola,126,-0.7428781529191266,-0.3460924113678198,0.04841759558425223,1965.4871831476187,0.005000000000457441,0.9128187834768369,ok
Argentina,237,-0.8935086458578512,-0.2591377285294504,0.39820136076032014,1997.613716443074,19.999999999998987,0.8275699695194688,ok
Armenia,108,-0.6277334379661706,-0.14991162475027017,0.9999999999999999,1990.2640311133425,6.081800298439695,0.9541148143931835,ok
Asia,126,-0.8974335539473921,-0.4391844547004494,0.42837969660022,2000.044680210915,19.999999999999996,0.9872689518161215,ok
Asia (population-weighted),237,-0.9538388302972742,-0.32885005097729164,0.036528661838565624,1967.5764192872746,0.9173943017856143,0.9783315797630645,ok
Australia,237,-0.5417800641242274,-0.1019098138770091,0.10548128350288008,1966.822743738672,0.1937657744133432,0.9117833348214052,ok
Austria,231,-0.8875046655770802,0.30136065114443256,0.01501665418655283,1955.3609592106689,0.005000000000000005,0.9586578136345012,ok
Azerbaijan,213,-0.7424954883456688,-0.4062620206913718,0.44224347573434913,1991.1982468612453,19.99999999998985,0.9377124726019147,ok
Bahrain,126,-0.9779690962867208,-0.5234447747076364,0.04089294851446906,1971.2251609237185,0.13500671058872146,0.9821320891985279,ok
Bangladesh,237,-0.9530835662973148,-0.404668065245491,0.13340264605783214,1976.332927394294,2.069904453751886,0.944255515360056,ok
Barbados,126,-0.5882533697945876,-0.14159644156791165,0.10701731422656523,1947.9918372975185,0.005000000000000001,0.9705682186506428,ok
Bavaria,83,-0.9515000000000096,-0.9403103487325204,0.0010000000000000002,1739.0000001169822,19.999999999998387,-0.000475052393115849,ok
Belarus,231,-0.7169405402889244,-0.20100726096958252,0.9998435394455146,1991.6114176436147,19.99999999999446,0.9130477001285432,ok
