code,entity,n,S_floor,S_floor_SE,S_floor_CI_lo,S_floor_CI_hi,S_floor_CV,S_ceil,S_ceil_SE,S_ceil_CI_lo,S_ceil_CI_hi,S_ceil_CV,k,k_SE,k_CI_lo,k_CI_hi,k_CV,t_mid,t_mid_SE,t_mid_CI_lo,t_mid_CI_hi,t_mid_CV,v,v_SE,v_CI_lo,v_CI_hi,v_CV,R2,RMSE,DW,pcov_valid,status,max_param_corr
AFG,Afghanistan,237,-0.9383255332038543,0.026278859890184362,-0.9898320985886156,-0.8868189678190929,0.028006122566500802,-0.674164591696745,0.02376344195669159,-0.7207409379318606,-0.6275882454616295,0.03524872449453848,0.2968722901632997,0.13425639126759786,0.03372976327880789,0.5600148170477914,0.4522361827496525,2002.9771604159134,6.906133585189089,1989.4411385889427,2016.513182242884,0.003447934265888008,10.897194284356512,8.146197510553462,-5.069352836328273,26.863741405041296,0.7475499929599081,0.5307043485223101,0.07208619182598713,0.23306693888166524,True,ok,0.9618475516308882
AGO,Angola,126,-0.8771460038520115,0.005191523636900066,-0.8873213901803356,-0.8669706175236873,0.005918653923179656,-0.022254424713896746,0.1264032326230744,-0.2700047606551226,0.2254959112273291,5.679914634869985,0.03649031051366336,0.012251784654515914,0.01247681259081217,0.06050380843651455,0.3357544641865511,1990.5589188213062,2.2966045495999947,1986.05757390409,1995.0602637385223,0.0011537485918577638,0.005000000000012461,0.31335798752231014,-0.6091816555437154,0.6191816555437403,62.67159750430584,0.9785589684961867,0.03201631486640184,0.4091488992260315,True,ok,0.972173867383151
ALB,Albania,114,-1.2776094620664116,0.12179940829542533,-1.5163363023254453,-1.038882621807378,0.09533383393891463,-0.004005823913859491,0.5922025219142399,-1.1647227668657696,1.1567111190380508,147.8353853411571,0.20730363230498702,0.9066622816760194,-1.569754439780011,1.984361704389985,4.373595732959128,2014.8019804618177,10.001947737164654,1995.198162896975,2034.4057980266605,0.004964233624026954,19.999999997644174,90.00947731634935,-156.41857554240053,196.4185755376889,4.500473866347584,0.9723053220794644,0.040588590190505563,0.2099403984661523,True,ok,0.9994690538982661
ARE,United Arab Emirates,55,-0.9371480813640712,0.04737673819415207,-1.0300064882246094,-0.8442896745035332,0.05055416442318549,-0.16577968997048495,0.6056736387469082,-1.352900021914425,1.0213406419734552,3.6534851697137385,0.11599605059920803,0.21149834015417943,-0.2985406961029836,0.5305327973013997,1.8233236309480303,2018.252149393506,8.536804961536316,2001.5200116688948,2034.9842871181172,0.0042298010008817106,1.8436083910754146,4.5693709409369045,-7.112358653160919,10.799575435311748,2.478493243498147,0.965756219564071,0.030132342952047152,0.7610722625715787,True,ok,0.9945860456240239
ARG,Argentina,190,-0.9236868481317152,0.02341348418629991,-0.969577277136863,-0.8777964191265674,0.025347859216201824,-0.12032170068001767,0.028812036365846724,-0.17679329195707724,-0.0638501094029581,0.23945835375506505,0.15976993066948014,0.03428668299354233,0.09256803200213717,0.2269718293368231,0.21460034970204755,1995.4589642249414,4.438152784148178,1986.760184768011,2004.1577436818718,0.0022241263106465366,12.327293275137453,3.2441794017800967,5.968701647648464,18.68588490262644,0.2631704567557571,0.9240432157882531,0.07033747482464188,0.23680286483985594,True,ok,0.9343150146431033
ARM,Armenia,96,-0.9828067923538956,0.114726394143533,-1.2076705248752202,-0.7579430598325709,0.11673341600413112,-2.31017847382526e-19,3.768691428169978,-7.386635199213157,7.386635199213157,,0.24133015651825962,5.655504305193634,-10.843458281661261,11.32611859469778,23.434718589616978,2021.7889640780568,126.3508008997472,1774.1413943145524,2269.4365338415614,0.062494554646737636,19.999999438920252,471.98741739200807,-905.0953386494156,945.095337527256,23.599371531656875,0.9371850537770189,0.04713607909992273,0.8187600842586101,True,ok,0.9999627504396856
AUS,Australia,160,-0.7881822894160445,0.00920124043627944,-0.8062167206711522,-0.7701478581609368,0.011674000494348252,-0.07009422331269419,0.005005130697750469,-0.07990427948028511,-0.06028416714510327,0.07140575158986077,0.18385073593454138,0.01491573003086579,0.15461590507404444,0.21308556679503832,0.08112956390980354,1980.3785710601105,1.175757278506032,1978.0740867942386,1982.6830553259824,0.0005937032927379338,10.9557309831872,1.1999401397645626,8.603848309248658,13.307613657125742,0.10952625083675435,0.9911955022491119,0.023441466784686057,0.2896604745459889,True,ok,0.9529594311507685
AUT,Austria,170,-0.9679563669851075,0.051547302495824475,-1.0689890798769235,-0.8669236540932915,0.05325374598896312,-0.06983353567873668,0.008626733647674394,-0.08674193362817849,-0.05292513772929487,0.12353282078342644,0.24297965493124637,0.014009536331576984,0.21552096372135549,0.27043834614113726,0.057657240214375675,1982.6293540177032,1.6245284297755198,1979.4452782953433,1985.8134297400632,0.0008193808018041753,19.999999999999957,3.0978595892092824,13.928195205149764,26.071804794850152,0.15489297946046446,0.9801388743749505,0.0420524542925317,0.2980288477585919,True,ok,0.9910561330943038
AZE,Azerbaijan,201,-0.873542320876946,0.011506495358026815,-0.8960950517786787,-0.8509895899752135,0.013172224267824236,-0.3188955946540978,0.026794341310140947,-0.37141250362197403,-0.26637868568622153,0.08402229996060136,0.05869366628127128,0.017832374135729627,0.023742212975241213,0.09364511958730135,0.3038210980086587,1974.4961412548537,3.4903989676043086,1967.6549592783492,1981.3373232313581,0.0017677415998321737,3.3810783372682485,1.3888775697895033,0.6588783004808221,6.103278374055675,0.41077947070331733,0.9790786502609828,0.025029607286404507,0.34798115393882006,True,ok,0.9832986753649962
BDI,Burundi,110,-0.8338216100880403,0.018709127334910626,-0.8704914996644652,-0.7971517205116155,0.022437805771111152,-0.37485407964380274,0.005539269355699047,-0.38571104758097285,-0.3639971117066326,0.014777135041354283,0.6659269975821652,0.06819553577482111,0.5322637474635159,0.7995902477008145,0.10240692451638714,1997.53856584734,0.8058080150688433,1995.9591821378049,1999.117949556875,0.0004034004793930103,13.204436982348085,2.705321276679628,7.902007280056014,18.506866684640155,0.20487971431846336,0.9790013730433523,0.025284728853704672,0.45674837495552684,True,ok,0.968817023350389
BEL,Belgium,135,-0.6715709891982558,0.01213581994751036,-0.6953571962953761,-0.6477847821011354,0.01807079242955166,-0.035985472595879815,0.013069940274235423,-0.061602555533381245,-0.010368389658378385,0.3632004620590109,0.06889295587881811,0.012021464669023487,0.04533088512753207,0.09245502663010415,0.17449483064958196,1961.053485389179,2.5326114080613356,1956.089567029379,1966.0174037489792,0.001291454530399373,1.9419773088981203,0.6021737650739348,0.7617167293532081,3.122237888443032,0.3100828018508665,0.9763222787732033,0.03422684363966252,0.5509581752036196,True,ok,0.950445729525237
BEN,Benin,126,-0.6485972698337069,0.007899027164599715,-0.6640793630763223,-0.6331151765910915,0.012178631536060794,-0.07055957657677255,0.04697372982315653,-0.16262808703015935,0.021508933876614247,0.6657314584654094,0.04599117315699863,0.014524620664805067,0.017522916653980702,0.07445942966001656,0.3158132238815223,1972.426259640382,3.803066686002832,1964.9722489358167,1979.8802703449476,0.0019281160283762483,0.005000000000000229,0.4210269931498787,-0.820212906573762,0.8302129065737625,84.20539862997188,0.9511565517675745,0.04492071224962993,0.31134266922482384,True,ok,0.9391301834138073
BFA,Burkina Faso,92,-0.857726303044614,0.09881648830155498,-1.0514066201156618,-0.6640459859735661,0.1152074827958437,-0.2724429686059974,0.01369116570384093,-0.29927765338552564,-0.2456082838264692,0.050253327417089155,0.37134928651456456,0.585101054718472,-0.7754487807336404,1.5181473537627697,1.5756083987939045,1991.9805535289152,10.181265657279004,1972.0252728406483,2011.935834217182,0.005111127033465397,19.999997616421922,35.861205773401934,-50.28796569944586,90.2879609322897,1.793060502365082,0.8922698186814565,0.05513443909549613,0.276713768501647,True,ok,0.9856506715327613
