code,feudal_end,is_advanced,equality_tau1,equality_tau2
MOZ,1505,0,1817.4,1900.4
PHL,1565,0,1877.4,1960.4
AGO,1575,0,1887.4,1970.4
IDN,1602,0,1914.4,1997.4
BRB,1627,0,1939.4,2022.4
JAM,1655,0,1967.4,2050.4
SUR,1667,0,1979.4,2062.4
GBR,1688,1,2000.4,2083.4
IND,1757,0,2069.4,2152.4
PAK,1757,0,2069.4,2152.4
BGD,1757,0,2069.4,2152.4
USA,1776,0,2088.4,2171.4
MYS,1786,0,2098.4,2181.4
FRA,1789,1,2101.4,2184.4
NLD,1795,1,2107.4,2190.4
LKA,1796,0,2108.4,2191.4
TTO,1797,0,2109.4,2192.4
ZAF,1806,0,2118.4,2201.4
SLE,1808,0,2120.4,2203.4
SWE,1809,0,2121.4,2204.4
MUS,1810,0,2122.4,2205.4
MEX,1810,0,2122.4,2205.4
COL,1810,0,2122.4,2205.4
SYC,1811,0,2123.4,2206.4
PRY,1811,0,2123.4,2206.4
VEN,1811,0,2123.4,2206.4
ESP,1812,1,2124.4,2207.4
NOR,1814,0,2126.4,2209.4
GUY,1814,0,2126.4,2209.4
ARG,1816,0,2128.4,2211.4
CHL,1818,0,2130.4,2213.4
SGP,1819,0,2131.4,2214.4
PRT,1820,1,2132.4,2215.4
GRC,1821,0,2133.4,2216.4
LBR,1821,0,2133.4,2216.4
DOM,1821,0,2133.4,2216.4
PER,1821,0,2133.4,2216.4
GTM,1821,0,2133.4,2216.4
HND,1821,0,2133.4,2216.4
SLV,1821,0,2133.4,2216.4
NIC,1821,0,2133.4,2216.4
CRI,1821,0,2133.4,2216.4
PAN,1821,0,2133.4,2216.4
BRA,1822,0,2134.4,2217.4
ECU,1822,0,2134.4,2217.4
URY,1825,0,2137.4,2220.4
BOL,1825,0,2137.4,2220.4
BEL,1830,0,2142.4,2225.4
DZA,1830,0,2142.4,2225.4
GAB,1839,0,2151.4,2234.4
HKG,1842,0,2154.4,2237.4
CHE,1848,0,2160.4,2243.4
DNK,1849,0,2161.4,2244.4
SEN,1854,0,2166.4,2249.4
ITA,1861,0,2173.4,2256.4
NGA,1861,0,2173.4,2256.4
VNM,1862,0,2174.4,2257.4
KHM,1863,0,2175.4,2258.4
HUN,1867,0,2179.4,2262.4
AUT,1867,0,2179.4,2262.4
CAN,1867,0,2179.4,2262.4
JPN,1868,0,2180.4,2263.4
LSO,1868,0,2180.4,2263.4
DEU,1871,0,2183.4,2266.4
FJI,1874,0,2186.4,2269.4
GHA,1874,0,2186.4,2269.4
ROU,1877,0,2189.4,2272.4
CYP,1878,0,2190.4,2273.4
SRB,1878,0,2190.4,2273.4
BGR,1878,0,2190.4,2273.4
MNE,1878,0,2190.4,2273.4
COG,1880,0,2192.4,2275.4
TUN,1881,0,2193.4,2276.4
PNG,1884,0,2196.4,2279.4
NAM,1884,0,2196.4,2279.4
CMR,1884,0,2196.4,2279.4
TGO,1884,0,2196.4,2279.4
TZA,1885,0,2197.4,2280.4
BWA,1885,0,2197.4,2280.4
MDV,1887,0,2199.4,2282.4
DJI,1888,0,2200.4,2283.4
ZWE,1890,0,2202.4,2285.4
ZMB,1891,0,2203.4,2286.4
MWI,1891,0,2203.4,2286.4
LAO,1893,0,2205.4,2288.4
SLB,1893,0,2205.4,2288.4
CIV,1893,0,2205.4,2288.4
UGA,1894,0,2206.4,2289.4
BEN,1894,0,2206.4,2289.4
TWN,1895,0,2207.4,2290.4
KEN,1895,0,2207.4,2290.4
MDG,1896,0,2208.4,2291.4
CUB,1898,0,2210.4,2293.4
RWA,1899,0,2211.4,2294.4
BDI,1899,0,2211.4,2294.4
AUS,1901,0,2213.4,2296.4
MRT,1903,0,2215.4,2298.4
VUT,1906,0,2218.4,2301.4
NZL,1907,0,2219.4,2302.4
BTN,1910,0,2222.4,2305.4
ALB,1912,0,2224.4,2307.4
MAR,1912,0,2224.4,2307.4
KAZ,1917,0,2229.4,2312.4
UZB,1917,0,2229.4,2312.4
KGZ,1917,0,2229.4,2312.4
TJK,1917,0,2229.4,2312.4
AZE,1917,0,2229.4,2312.4
ARM,1917,0,2229.4,2312.4
GEO,1917,0,2229.4,2312.4
RUS,1917,0,2229.4,2312.4
UKR,1917,0,2229.4,2312.4
BLR,1917,0,2229.4,2312.4
FIN,1917,0,2229.4,2312.4
POL,1918,0,2230.4,2313.4
HRV,1918,0,2230.4,2313.4
SVN,1918,0,2230.4,2313.4
MKD,1918,0,2230.4,2313.4
BIH,1918,0,2230.4,2313.4
CZE,1918,0,2230.4,2313.4
SVK,1918,0,2230.4,2313.4
MDA,1918,0,2230.4,2313.4
LVA,1918,0,2230.4,2313.4
LTU,1918,0,2230.4,2313.4
EST,1918,0,2230.4,2313.4
MNG,1921,0,2233.4,2316.4
IRL,1922,0,2234.4,2317.4
TUR,1923,0,2235.4,2318.4
IRN,1925,0,2237.4,2320.4
THA,1932,0,2244.4,2327.4
ETH,1936,0,2248.4,2331.4
LBN,1943,0,2255.4,2338.4
ISL,1944,0,2256.4,2339.4
KOR,1945,0,2257.4,2340.4
JOR,1946,0,2258.4,2341.4
CHN,1949,0,2261.4,2344.4
NPL,1951,0,2263.4,2346.4
EGY,1952,0,2264.4,2347.4
TLS,1975,0,2287.4,2370.4
