code,entity,n,ric_RSS,ric_AIC,ric_BIC,quartic_RSS,quartic_AIC,quartic_BIC,spline_RSS,spline_edf,spline_AIC,spline_BIC,aic_winner_5,bic_winner_5,ric_minus_quartic_AIC,ric_minus_spline_AIC
AFG,Afghanistan,237,1.231551315317604,-1236.5691716694353,-1219.2288709637596,1.310160950029583,-1221.9047052777019,-1204.5644045720262,1.310526705872229,5,-1221.8385515450545,-1204.498250839379,Richards,Richards,-14.664466391733413,-14.73062012438072
AGO,Angola,126,0.12915559662069753,-857.2604359659103,-843.079026431153,0.13257332785296597,-853.9695607543578,-839.7881512196004,0.12913360717895667,5,-857.281889976572,-843.1004804418146,Spline,Spline,-3.2908752115525886,0.02145401066161412
ALB,Albania,114,0.1878074365164197,-720.5731682187593,-706.8921759767868,0.17622747868838498,-727.8283004747952,-714.1473082328228,0.17055130349019076,5,-731.5606036273757,-717.8796113854032,Spline,Spline,7.2551322560359495,10.98743540861642
ARE,United Arab Emirates,55,0.04993769504788821,-375.2371784170623,-365.20051249089994,0.050301491294961066,-374.83795567454894,-364.8012897483866,0.04997767564635507,5,-375.19316250604163,-365.1564965798793,Richards,Richards,-0.3992227425133592,-0.044015911020665044
ARG,Argentina,190,0.9400000328512936,-998.6908937767739,-982.4557734159715,0.9895956529995911,-988.9217553240807,-972.6866349632783,0.9887689776436178,5,-989.0805413479952,-972.8454209871928,Richards,Richards,-9.769138452693255,-9.610352428778697
ARM,Armenia,96,0.2132937554789528,-576.5055796321241,-563.6838386747849,0.20076081749590222,-582.3189664319017,-569.4972254745625,0.2068934497291523,5,-579.4303563501838,-566.6086153928446,Quartic,Quartic,5.813386799777618,2.924776718059775
AUS,Australia,160,0.08792037840298841,-1191.0395968293155,-1175.6637277531463,0.21295644187377435,-1049.4946316262956,-1034.1187625501263,0.13789310312978065,5,-1119.0320518767312,-1103.656182800562,Richards,Richards,-141.54496520301996,-72.00754495258434
AUT,Austria,170,0.30062951504433033,-1067.404759592535,-1051.7257674072837,0.36295789783193433,-1035.375368312806,-1019.6963761275546,0.3545805257068163,5,-1039.3451013006345,-1023.6661091153832,Richards,Richards,-32.029391279729,-28.059658291900405
AZE,Azerbaijan,201,0.12592272942282678,-1472.4537370784922,-1455.9372125381967,0.13286808209776327,-1461.6623864086848,-1445.1458618683894,0.1329102447686814,5,-1461.598613737485,-1445.0820891971896,Richards,Richards,-10.791350669807343,-10.855123341007129
BDI,Burundi,110,0.07032492645259021,-799.0620269842948,-785.5596251553327,0.11377398397315754,-746.1423937158479,-732.6399918868858,0.11047075136967772,5,-749.3833337575462,-735.8809319285841,Richards,Richards,-52.91963326844689,-49.67869322674858
