code,entity,year_start,year_end,n_years,S_now,S_range,log_R2,log_floor,log_ceil,log_k,log_tmid,ric_R2,ric_floor,ric_ceil,ric_k,ric_tmid,ric_v,dR2,status
AFG,Afghanistan,1789,2025,237,-0.972,0.479,0.5024710304906188,-0.9353714575632414,-0.5244546963836944,0.03144980641175718,2006.7042990571972,0.5307043485223101,-0.9383255332038543,-0.674164591696745,0.2968722901632997,2002.9771604159134,10.897194284356512,0.028233318031691268,ok
AGO,Angola,1900,2025,126,-0.22999999999999998,0.647,0.9764824411551634,-0.887594985136956,-0.16810728160602534,0.06859437913917998,1993.929706343599,0.9785589684961867,-0.8771460038520115,-0.022254424713896746,0.03649031051366336,1990.5589188213062,0.005000000000012461,0.002076527341023371,ok
ALB,Albania,1912,2025,114,-0.10699999999999998,0.797,0.9604849330227541,-0.9252856944317995,-2.2098331675734395e-16,0.03953306011256698,1983.730256422262,0.9723053220794644,-1.2776094620664116,-0.004005823913859491,0.20730363230498702,2014.8019804618177,19.999999997644174,0.011820389056710345,ok
ARE,United Arab Emirates,1971,2025,55,-0.386,0.517,0.9656966129738674,-0.9273283346105594,-1.737079286361358e-23,0.07704214174934938,2020.3367640436613,0.965756219564071,-0.9371480813640712,-0.16577968997048495,0.11599605059920803,2018.252149393506,1.8436083910754146,5.960659020354253e-05,ok
ARG,Argentina,1789,2025,190,-0.16800000000000004,0.764,0.9048534694486369,-0.8681695482870417,-8.453575850246626e-18,0.026997447064354654,1969.1188500972146,0.9240432157882531,-0.9236868481317152,-0.12032170068001767,0.15976993066948014,1995.4589642249414,12.327293275137453,0.01918974633961623,ok
ARM,Armenia,1918,2025,96,-0.125,0.676,0.9300100118399715,-0.7614072854556659,-2.4082035907013314e-16,0.0401669622148747,1991.385882826266,0.9371850537770189,-0.9828067923538956,-2.31017847382526e-19,0.24133015651825962,2021.7889640780568,19.999999438920252,0.007175041937047433,ok
AUS,Australia,1789,2025,160,-0.09399999999999997,0.7010000000000001,0.9764997127725747,-0.7475069010182666,-6.3108735440756886e-18,0.03715451057634488,1956.8498419882837,0.9911955022491119,-0.7881822894160445,-0.07009422331269419,0.18385073593454138,1980.3785710601105,10.9557309831872,0.014695789476537158,ok
AUT,Austria,1789,2025,170,-0.09499999999999997,0.7639999999999999,0.9735374740003632,-0.8132919827561569,-2.7397676315394823e-14,0.037967156748823665,1953.3384422957993,0.9801388743749505,-0.9679563669851075,-0.06983353567873668,0.24297965493124637,1982.6293540177032,19.999999999999957,0.006601400374587341,ok
AZE,Azerbaijan,1813,2025,201,-0.351,0.506,0.9782379235946329,-0.8516514324055875,-0.21851669857696704,0.027572375247182503,1969.8415424428044,0.9790786502609828,-0.873542320876946,-0.3188955946540978,0.05869366628127128,1974.4961412548537,3.3810783372682485,0.0008407266663499335,ok
BDI,Burundi,1916,2025,110,-0.347,0.4690000000000001,0.9704056581827247,-0.7975288150527932,-0.35038829317359094,0.11883258468559582,1988.568890186886,0.9790013730433523,-0.8338216100880403,-0.37485407964380274,0.6659269975821652,1997.53856584734,13.204436982348085,0.008595714860627601,ok
BEL,Belgium,1789,2025,135,-0.04800000000000004,0.726,0.9755106696705227,-0.6560508902458317,-0.017519452622458246,0.05205747806857623,1956.870808776392,0.9763222787732033,-0.6715709891982558,-0.035985472595879815,0.06889295587881811,1961.053485389179,1.9419773088981203,0.0008116091026806327,ok
BEN,Benin,1900,2025,126,-0.118,0.536,0.9503481653121498,-0.657310246379465,-0.11297831084073659,0.07578707393607924,1978.7699258840971,0.9511565517675745,-0.6485972698337069,-0.07055957657677255,0.04599117315699863,1972.426259640382,0.005000000000000229,0.0008083864554246922,ok
