code,entity,n_years,pearson_r,p_value
AFG,Afghanistan,215,0.11321865857800058,0.09777006500107907
AGO,Angola,44,-0.057908740048751496,0.7088667926077782
ALB,Albania,44,0.4037804321205883,0.006566353910677181
ARE,United Arab Emirates,54,-0.16402561730388773,0.23594585808095422
ARG,Argentina,64,0.0719349609262532,0.5721621525724758
ARM,Armenia,34,-0.3266204468324506,0.05938284363712042
AUS,Australia,64,-0.05813674383708055,0.6481644809618085
AUT,Austria,64,-0.2445257824616955,0.05149592291887557
AZE,Azerbaijan,34,-0.05927441701872227,0.7391408167149233
BDI,Burundi,64,-0.03600900414289407,0.7775708981132861
BEL,Belgium,64,-0.08458235590579487,0.5063608903852712
BEN,Benin,64,0.12878162200442983,0.3104976811577244
BFA,Burkina Faso,64,0.1373473484219379,0.2791362894836914
BGD,Bangladesh,58,-0.13396852064153073,0.31605759732268224
BGR,Bulgaria,44,-0.045856390224472014,0.7675541805694022
BHR,Bahrain,54,-0.0005808031286625021,0.9966743109997244
BIH,Bosnia and Herzegovina,34,-0.4512688905961472,0.007389029588740282
BLR,Belarus,34,-0.06223547053226606,0.7265957092497533
BOL,Bolivia,64,0.08035064490053888,0.5279373819262692
BRA,Brazil,64,-0.2796590193110735,0.025218581583376358
BRB,Barbados,59,0.04113135090677657,0.7570879880860608
BTN,Bhutan,53,-0.20644092575465722,0.13804693604628937
BWA,Botswana,64,0.184457982792482,0.1445284514509151
CAF,Central African Republic,62,0.23337541071678233,0.067925588282146
CAN,Canada,64,0.17646934871316972,0.1630445989201363
CHE,Switzerland,64,-0.16442859130965598,0.1941635869759524
CHL,Chile,64,-0.007571823189974458,0.9526482188454801
CHN,China,64,0.10588194386971454,0.4050110515962081
CIV,Cote d'Ivoire,64,0.47965945428040263,6.062083340373896e-05
CMR,Cameroon,64,-0.06082799999071124,0.6330235068731858
COD,Democratic Republic of Congo,64,0.0740055185700761,0.5611236673959403
COG,Congo,64,-0.13804718953725334,0.27667037149963997
COL,Colombia,64,-0.06971061094042363,0.5841314524820042
COM,Comoros,44,0.03641041664092594,0.8144849278653634
CPV,Cape Verde,44,-0.1733449149337162,0.260469274604081
CRI,Costa Rica,64,0.12043668590533932,0.3431496755322666
CUB,Cuba,54,-0.15347803792352954,0.267853574228702
CYP,Cyprus,49,-0.23546609098733176,0.10337569659330202
CZE,Czechia,34,-0.0706056797857298,0.6915187174792944
DEU,Germany,34,0.16334816265356483,0.35597099478092786
DNK,Denmark,64,-0.3304318798898995,0.007659759519727278
DOM,Dominican Republic,111,0.026408729845720014,0.7832151267405937
DZA,Algeria,64,0.2931164865017453,0.018743150992187353
ECU,Ecuador,64,-0.11856980193787581,0.35073711093320314
EGY,Egypt,64,0.0926149663365615,0.46668496777632273
ERI,Eritrea,19,0.35581911810880784,0.13488265981869701
ESP,Spain,64,0.04520777585660831,0.7228026798095023
EST,Estonia,34,0.15612871905858336,0.3779110077007585
ETH,Ethiopia,63,-0.11945300734595451,0.351084810344384
FIN,Finland,64,-0.0625634700314647,0.6233382252365647
FJI,Fiji,62,0.09906488179324355,0.4436463788751258
FRA,France,64,-0.3975235640063784,0.001143247534736694
GAB,Gabon,64,0.1977197710244126,0.11732816834600765
GBR,United Kingdom,64,-0.08516482416355789,0.5034268666631116
GEO,Georgia,64,-0.1197846781996387,0.34578787106029696
GHA,Ghana,64,0.04391176608717366,0.7304427268409347
GIN,Guinea,54,0.21896352738119332,0.11166174550771135
GMB,Gambia,58,0.24707181720376759,0.06151370667866254
GNB,Guinea-Bissau,54,-0.07924698191049644,0.5689389332862522
GNQ,Equatorial Guinea,44,-0.36677250717689136,0.014330627577810024
GRC,Greece,64,-0.31490627458994536,0.011262810634295885
GTM,Guatemala,64,0.4267952779970082,0.0004366140987899831
GUY,Guyana,57,-0.11479938524866029,0.39514115079151096
HKG,Hong Kong,63,0.0641019290115304,0.6176958649823245
HND,Honduras,64,0.08061328260300746,0.526585075729151
HRV,Croatia,34,0.37969021395575575,0.02677191096050903
HTI,Haiti,64,0.3768602183757196,0.002144233508059307
HUN,Hungary,64,-0.22486906934422118,0.07402597496826836
IDN,Indonesia,64,-0.21516772537623266,0.08773315811482904
IND,India,64,0.1150304516240655,0.36540404013468347
IRL,Ireland,64,0.20243015219013055,0.1086743772612176
IRN,Iran,64,0.34359544633820366,0.005439855079014087
IRQ,Iraq,64,-0.11496116690168177,0.3656948299176346
ISL,Iceland,64,-0.0923529836931021,0.46795185691572294
ISR,Israel,64,-0.39420050698406983,0.001268394492100294
ITA,Italy,64,-0.10824654985612195,0.3945413886612722
JAM,Jamaica,58,-0.2957924634471416,0.024173796054958153
JOR,Jordan,48,-0.38287804496453737,0.007232818358102633
JPN,Japan,64,0.09159854654806032,0.47161050582684777
KAZ,Kazakhstan,34,-0.6006274915477037,0.00017286163840354654
KEN,Kenya,64,0.15360831575508962,0.22556819636372671
KGZ,Kyrgyzstan,38,-0.28116347384457285,0.08726628147677229
KHM,Cambodia,49,-0.026540658879942267,0.8563516141728315
KOR,South Korea,64,-0.31969268682909735,0.010021188586383248
KWT,Kuwait,54,-0.10364949479599464,0.45575479044675393
LAO,Laos,40,0.37166606270758545,0.018207557221129538
LBN,Lebanon,35,-0.1085390530831653,0.5348343275239634
LBR,Liberia,64,-0.2211256221972407,0.07909739507869368
