code,entity,n,lin_R2,lin_AIC,lin_BIC,lin_RSS,quad_R2,quad_AIC,quad_BIC,quad_RSS,pw_R2,pw_AIC,pw_BIC,pw_RSS,log_R2,log_AIC,log_BIC,log_RSS,ric_R2,ric_AIC,ric_BIC,ric_RSS,aic_winner,bic_winner,aic_best,bic_best,dAIC_sig_vs_simple,dBIC_sig_vs_simple
AFG,Afghanistan,237,0.3791139439667387,-1176.2294058602013,-1169.293285577931,1.6293631457321822,0.49523934181374185,-1223.3033860867347,-1212.8992056633292,1.3246205255737773,0.49094765165919396,-1219.296829382793,-1205.4245888182525,1.3358830135983872,0.5024710304906188,-1224.723435364463,-1210.8511947999225,1.3056427326325217,0.5307043485223101,-1236.5691716694353,-1219.2288709637596,1.231551315317604,Richards,Richards,-1236.5691716694353,-1219.2288709637596,-13.265785582700573,-6.329665300430406
AGO,Angola,126,0.8151141466826672,-591.8019813711163,-586.1294175572134,1.1137077377867763,0.9693667471994012,-816.3061981085632,-807.7973523877088,0.18452731815586096,0.9795623551405233,-865.2993525846825,-853.9542249568766,0.12311143775327209,0.9764824411551634,-847.6128849847948,-836.2677573569889,0.14166409592407128,0.9785589684961867,-857.2604359659103,-843.079026431153,0.12915559662069753,Piecewise,Piecewise,-865.2993525846825,-853.9542249568766,8.038916618772191,10.87519852572359
ALB,Albania,114,0.9530156580912639,-666.3157170083941,-660.8433201116052,0.31861749162093383,0.9718157747977044,-722.5756408915609,-714.3670455463773,0.19112723031596182,0.9757730008672713,-737.8232427936151,-726.8784490000371,0.16429187639078724,0.9604849330227541,-682.0528053286786,-671.1080115351006,0.26796568835589685,0.9723053220794644,-720.5731682187593,-706.8921759767868,0.1878074365164197,Piecewise,Piecewise,-737.8232427936151,-726.8784490000371,17.25007457485583,19.986273023250305
ARE,United Arab Emirates,55,0.8890580052185671,-316.5845387125523,-312.5698723420873,0.16178667871572866,0.964759739318166,-377.65954503766125,-371.63754548196385,0.05139086190060628,0.9677135710806624,-380.4743667926313,-372.44503405170144,0.04708328990065445,0.9656966129738674,-377.1415256451421,-369.11219290421224,0.05002461932104195,0.965756219564071,-375.2371784170623,-365.20051249089994,0.04993769504788821,Piecewise,Piecewise,-380.4743667926313,-372.44503405170144,3.332841147489205,3.332841147489205
ARG,Argentina,190,0.8407413134498355,-864.0218047478801,-857.527756603559,1.9708959921427542,0.9140883048337755,-979.2916802854535,-969.550608068972,1.0631948520306767,0.9297969625504368,-1015.6580743345529,-1002.669978045911,0.8687933333043621,0.9048534694477893,-957.8930295420738,-944.9049332534319,1.1774799842555055,0.9240430894446888,-998.6908937767739,-982.4557734159715,0.9400000328512936,Piecewise,Piecewise,-1015.6580743345529,-1002.669978045911,16.96718055777899,20.214204629939445
ARM,Armenia,96,0.9092147763086579,-547.1484440782442,-542.0197476953085,0.3082693286794872,0.9371646473827687,-580.4743976308689,-572.7813530564654,0.21336304721249497,0.9382427765264152,-580.1358606886595,-569.8784679227881,0.20970216349344797,0.9300100118399645,-568.1222999649087,-557.8649071990374,0.23765725067478158,0.9371850537772567,-576.5055796321241,-563.6838386747849,0.2132937554789528,Quadratic,Quadratic,-580.4743976308689,-572.7813530564654,3.9688179987448393,9.097514381680526
AUS,Australia,160,0.8701585790401462,-766.4714099323782,-760.3210623019105,1.2965767254579612,0.9678197527034171,-987.6651764524332,-978.4396550067318,0.3213470659500231,0.9767307351323312,-1037.5402870012765,-1025.2395917403412,0.23236334771216344,0.976499712779201,-1035.9596057466558,-1023.6589104857205,0.23467030187143623,0.9911955022490937,-1191.0395968293155,-1175.6637277531463,0.08792037840298841,Richards,Richards,-1191.0395968293155,-1175.6637277531463,-153.49930982803903,-150.4241360128051
AUT,Austria,170,0.9069791844548297,-810.9147370443827,-804.6431401702822,1.4080170074098135,0.9639888281375425,-970.243729173608,-960.8363338624572,0.5450859804005495,0.970432957825892,-1001.762445385823,-989.2192516376219,0.44754389644897824,0.973537474000393,-1020.6206613195509,-1008.0774675713499,0.40055213930454064,0.9801388743749504,-1067.404759592535,-1051.7257674072837,0.30062951504433033,Richards,Richards,-1067.404759592535,-1051.7257674072837,-65.64231420671194,-62.506515769661746
AZE,Azerbaijan,201,0.9120834894531015,-1189.894626781317,-1183.2880169651987,0.529157396990796,0.9734086882204641,-1428.2510464132727,-1418.3411316890954,0.160049451875411,0.9773662969441872,-1458.641082176441,-1445.4278625442046,0.1362291487545741,0.9782379235945873,-1466.5346015357097,-1453.3213819034734,0.13098294770991947,0.9790786502610512,-1472.4537370784922,-1455.9372125381967,0.12592272942282678,Richards,Richards,-1472.4537370784922,-1455.9372125381967,-13.812654902051236,-10.509349993992146
BDI,Burundi,110,0.8367918665461394,-579.4994121178137,-574.0984513862288,0.5465881176566054,0.9245527279949061,-662.3745596612907,-654.2731185639135,0.25267479944097554,0.9455052223297542,-696.1607665703949,-685.3588451072252,0.18250437229168773,0.9704056581827247,-763.3181520609531,-752.5162305977834,0.09911219033556092,0.9790013730433523,-799.0620269842948,-785.5596251553327,0.07032492645259021,Richards,Richards,-799.0620269842948,-785.5596251553327,-102.90126041389988,-100.2007800481075
BEL,Belgium,135,0.7899213828451612,-612.4832817033115,-606.6727321464347,1.403167177249671,0.9309204154091442,-760.633331117512,-751.9175067821966,0.4613996751725021,0.95526530616181,-817.2921663664309,-805.6710672526772,0.29879411302386993,0.9755106696770179,-898.6312625260017,-887.010163412248,0.16357030985550777,0.9763222787732618,-901.1811610820369,-886.6547871898447,0.15814937144668603,Richards,Logistic,-901.1811610820369,-887.010163412248,-83.88899471560592,-81.33909615957077
BEN,Benin,126,0.8601296236616889,-645.3557074158088,-639.6831436019058,0.7280869372828396,0.9136169314811252,-704.0781843392652,-695.5693386184108,0.44966193298054474,0.9414034329002579,-750.9807470964632,-739.6356194686573,0.30502095005269475,0.9503481653121498,-771.8514842070432,-760.5063565792373,0.25845967670031045,0.9511565517675745,-771.9197859064782,-757.7383763717208,0.2542516690157706,Richards,Logistic,-771.9197859064782,-760.5063565792373,-20.93903881001495,-20.870737110579967
BFA,Burkina Faso,92,0.8342744684410253,-489.60375832119433,-484.56018116709623,0.4302152278764452,0.837892356148743,-489.63442029968144,-482.06905456853434,0.4208233715344229,0.9114327030893824,-543.2482273459032,-533.161073037707,0.2299162927061899,0.8643468038836465,-504.02504668688925,-493.9378923786931,0.35214894247358186,0.8922698193591554,-523.2284547361148,-510.6195118508696,0.2796621846832248,Piecewise,Piecewise,-543.2482273459032,-533.161073037707,20.019772609788333,22.541561186837328
