peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
1966,0.197,1974,0.149,0.048000000000000015,8,True,0.303,44.0,0.5,2018,False,AFG,Afghanistan,Asia
1989,0.205,1997,0.04,0.16499999999999998,8,True,0.29500000000000004,21.0,0.5,2018,False,AFG,Afghanistan,Asia
2018,0.5,2023,0.021,0.479,5,False,,,0.049,2024,True,AFG,Afghanistan,Asia
1991,0.509,1993,0.421,0.08800000000000002,2,True,0.261,32.0,0.77,2025,False,AGO,Angola,Africa
2019,0.741,2021,0.694,0.04700000000000004,2,True,0.029000000000000026,4.0,0.77,2025,False,AGO,Angola,Africa
2009,0.41,2011,0.374,0.035999999999999976,2,True,0.20400000000000001,14.0,0.614,2025,False,ARE,United Arab Emirates,Asia
1929,0.4,1944,0.337,0.063,15,True,0.46599999999999997,74.0,0.866,2018,False,ARG,Argentina,South America
1954,0.572,1956,0.404,0.16799999999999993,2,True,0.29400000000000004,62.0,0.866,2018,False,ARG,Argentina,South America
1965,0.544,1967,0.411,0.13300000000000006,2,True,0.32199999999999995,51.0,0.866,2018,False,ARG,Argentina,South America
1974,0.567,1976,0.33,0.23699999999999993,2,True,0.29900000000000004,42.0,0.866,2018,False,ARG,Argentina,South America
2001,0.862,2016,0.832,0.030000000000000027,15,True,0.0040000000000000036,2.0,0.866,2018,False,ARG,Argentina,South America
2018,0.866,2021,0.834,0.03200000000000003,3,False,,,0.861,2023,False,ARG,Argentina,South America
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.601,88.0,0.903,2021,False,ARM,Armenia,Asia
1990,0.845,1999,0.67,0.17499999999999993,9,True,0.05800000000000005,22.0,0.903,2021,False,ARM,Armenia,Asia
1920,0.508,1935,0.282,0.22600000000000003,15,True,0.43099999999999994,82.0,0.939,2017,False,AUT,Austria,Europe
2017,0.939,2024,0.901,0.03799999999999992,7,False,,,0.905,2025,True,AUT,Austria,Europe
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.35500000000000004,82.0,0.657,2015,False,AZE,Azerbaijan,Asia
1988,0.534,1990,0.446,0.08800000000000002,2,True,0.123,25.0,0.657,2015,False,AZE,Azerbaijan,Asia
2015,0.657,2024,0.624,0.03300000000000003,9,False,,,0.649,2025,True,AZE,Azerbaijan,Asia
2006,0.66,2016,0.549,0.11099999999999999,10,True,0.007000000000000006,8.0,0.667,2024,False,BDI,Burundi,Africa
1795,0.32,1814,0.226,0.094,19,True,0.6319999999999999,210.0,0.952,2024,False,BEL,Belgium,Europe
1830,0.43,1914,0.379,0.05099999999999999,84,True,0.522,110.0,0.952,2024,False,BEL,Belgium,Europe
1939,0.49,1942,0.428,0.062,3,True,0.46199999999999997,82.0,0.952,2024,False,BEL,Belgium,Europe
2010,0.854,2021,0.823,0.031000000000000028,11,True,0.03700000000000003,3.0,0.891,2024,False,BEN,Benin,Africa
1969,0.525,1980,0.475,0.050000000000000044,11,True,0.27,30.0,0.795,2010,False,BFA,Burkina Faso,Africa
2012,0.795,2015,0.734,0.061000000000000054,3,False,,,0.768,2018,False,BFA,Burkina Faso,Africa
2018,0.768,2022,0.541,0.22699999999999998,4,False,,,0.679,2023,True,BFA,Burkina Faso,Africa
1972,0.616,1975,0.546,0.06999999999999995,3,True,0.11499999999999999,36.0,0.731,2011,False,BGD,Bangladesh,Asia
1995,0.662,2002,0.596,0.06600000000000006,7,True,0.06899999999999995,9.0,0.731,2011,False,BGD,Bangladesh,Asia
2011,0.731,2024,0.61,0.121,13,False,,,0.61,2024,True,BGD,Bangladesh,Asia
1923,0.503,1935,0.444,0.059,12,True,0.42000000000000004,67.0,0.923,2002,False,BGR,Bulgaria,Europe
2010,0.475,2013,0.377,0.09799999999999998,3,True,0.09299999999999997,12.0,0.568,2025,False,BHR,Bahrain,Asia
1940,0.291,1942,0.207,0.08399999999999999,2,True,0.5529999999999999,74.0,0.844,2016,False,BIH,Bosnia and Herzegovina,Europe
1964,0.595,1967,0.554,0.040999999999999925,3,True,0.249,49.0,0.844,2016,False,BIH,Bosnia and Herzegovina,Europe
1990,0.702,1994,0.464,0.23799999999999993,4,True,0.14200000000000002,22.0,0.844,2016,False,BIH,Bosnia and Herzegovina,Europe
2016,0.844,2022,0.8,0.04399999999999993,6,False,,,0.821,2025,True,BIH,Bosnia and Herzegovina,Europe
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.5589999999999999,84.0,0.861,2017,False,BLR,Belarus,Europe
2017,0.861,2024,0.688,0.17300000000000004,7,False,,,0.688,2024,True,BLR,Belarus,Europe
1963,0.29,1972,0.234,0.055999999999999966,9,True,0.55,53.0,0.84,2025,False,BOL,Bolivia,South America
2017,0.792,2019,0.759,0.03300000000000003,2,True,0.04799999999999993,6.0,0.84,2025,False,BOL,Bolivia,South America
1963,0.428,1966,0.367,0.061,3,True,0.40299999999999997,58.0,0.831,2024,False,BRA,Brazil,South America
2012,0.827,2018,0.754,0.07299999999999995,6,True,0.0040000000000000036,6.0,0.831,2024,False,BRA,Brazil,South America
2003,0.668,2007,0.622,0.04600000000000004,4,True,0.131,11.0,0.799,2018,False,BTN,Bhutan,Asia
